"campaignid","sample","family","genus","species","length","min.length","max.length","fb.length_max","reason","difference","percent.of.fb.max"
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Labridae","Pseudolabrus","biserialis",163.70363,25.8,146.2,172,"too big",17.50363,95.1765290697674
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Labridae","Pseudolabrus","biserialis",199.10397,25.8,146.2,172,"too big",52.90397,115.758122093023
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Labridae","Bodianus","frenchii",404.02473,67.5,382.5,450,"too big",21.52473,89.7832733333333
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Kyphosidae","Girella","zebra",401.92734,51,289,340,"too big",112.92734,118.213923529412
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Pomacentridae","Chromis","klunzingeri",91.16772,9.75,55.25,65,"too big",35.91772,140.258030769231
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Pomacentridae","Chromis","klunzingeri",75.18857,9.75,55.25,65,"too big",19.93857,115.674723076923
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Pomacentridae","Chromis","klunzingeri",91.44482,9.75,55.25,65,"too big",36.19482,140.684338461538
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Pomacentridae","Chromis","klunzingeri",90.17514,9.75,55.25,65,"too big",34.92514,138.730984615385
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Pomacentridae","Chromis","klunzingeri",67.30756,9.75,55.25,65,"too big",12.05756,103.550092307692
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Pomacentridae","Chromis","klunzingeri",64.65277,9.75,55.25,65,"too big",9.40277,99.4658
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Pomacentridae","Chromis","klunzingeri",68.79998,9.75,55.25,65,"too big",13.54998,105.846123076923
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Pomacentridae","Chromis","klunzingeri",71.21236,9.75,55.25,65,"too big",15.96236,109.557476923077
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Pomacentridae","Chromis","klunzingeri",68.07154,9.75,55.25,65,"too big",12.82154,104.725446153846
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Pomacentridae","Chromis","klunzingeri",97.63897,9.75,55.25,65,"too big",42.38897,150.2138
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Pomacentridae","Chromis","klunzingeri",80.09449,9.75,55.25,65,"too big",24.84449,123.222292307692
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Pomacentridae","Chromis","klunzingeri",75.6077,9.75,55.25,65,"too big",20.3577,116.319538461538
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Pomacentridae","Chromis","klunzingeri",100.94397,9.75,55.25,65,"too big",45.69397,155.298415384615
"2014-12_Geographe.Bay_stereoBRUVs","44","Labridae","Coris","auricularis",350.503,60,340,400,"too big",10.503,87.62575
"2014-12_Geographe.Bay_stereoBRUVs","44","Nemipteridae","Pentapodus","vitta",229.21979,39,221,260,"too big",8.21978999999999,88.1614576923077
"2014-12_Geographe.Bay_stereoBRUVs","44","Aracanidae","Anoplocapros","amygdaloides",318.35899,45,255,300,"too big",63.35899,106.119663333333
