"campaignid","sample","family","genus","species","maxn","stereo.maxn","difference","percent.difference"
"2014-12_Geographe.Bay_stereoBRUVs","26","Monacanthidae","Acanthaluteres","vittiger",37,2,35,94.5945945945946
"2014-12_Geographe.Bay_stereoBRUVs","113","Carangidae","Pseudocaranx","spp",136,120,16,11.7647058823529
"2014-12_Geographe.Bay_stereoBRUVs","RB2","Gerreidae","Parequula","melbournensis",25,13,12,48
"2014-12_Geographe.Bay_stereoBRUVs","104","Labridae","Coris","auricularis",7,1,6,85.7142857142857
"2014-12_Geographe.Bay_stereoBRUVs","104","Labridae","Ophthalmolepis","lineolatus",5,2,3,60
"2014-12_Geographe.Bay_stereoBRUVs","104","Scorpididae","Neatypus","obliquus",23,20,3,13.0434782608696
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Labridae","Coris","auricularis",46,49,3,6.52173913043478
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Labridae","Coris","auricularis",5,8,3,60
"2014-12_Geographe.Bay_stereoBRUVs","199","Labridae","Coris","auricularis",17,20,3,17.6470588235294
"2014-12_Geographe.Bay_stereoBRUVs","826","Gerreidae","Parequula","melbournensis",4,1,3,75
"2014-12_Geographe.Bay_stereoBRUVs","GBR1-3","Labridae","Coris","auricularis",21,24,3,14.2857142857143
"2014-12_Geographe.Bay_stereoBRUVs","100","Sparidae","Chrysophrys","auratus",4,2,2,50
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Labridae","Coris","auricularis",24,26,2,8.33333333333333
"2014-12_Geographe.Bay_stereoBRUVs","12RC5","Labridae","Ophthalmolepis","lineolatus",3,5,2,66.6666666666667
"2014-12_Geographe.Bay_stereoBRUVs","13RC2","Labridae","Coris","auricularis",2,4,2,100
"2014-12_Geographe.Bay_stereoBRUVs","13RC2","Labridae","Ophthalmolepis","lineolatus",2,4,2,100
"2014-12_Geographe.Bay_stereoBRUVs","23","Gerreidae","Parequula","melbournensis",0,2,2,Inf
"2014-12_Geographe.Bay_stereoBRUVs","28","Labridae","Ophthalmolepis","lineolatus",3,5,2,66.6666666666667
"2014-12_Geographe.Bay_stereoBRUVs","331","Labridae","Choerodon","rubescens",3,1,2,66.6666666666667
"2014-12_Geographe.Bay_stereoBRUVs","394","Labridae","Notolabrus","parilus",1,3,2,200
"2014-12_Geographe.Bay_stereoBRUVs","506","Labridae","Coris","auricularis",42,44,2,4.76190476190476
"2014-12_Geographe.Bay_stereoBRUVs","523","Monacanthidae","Nelusetta","ayraud",0,2,2,Inf
"2014-12_Geographe.Bay_stereoBRUVs","634","Labridae","Coris","auricularis",2,4,2,100
"2014-12_Geographe.Bay_stereoBRUVs","640","Rhinobatidae","Trygonorrhina","dumerilii",1,3,2,200
"2014-12_Geographe.Bay_stereoBRUVs","7","Labridae","Coris","auricularis",29,31,2,6.89655172413793
"2014-12_Geographe.Bay_stereoBRUVs","843","Labridae","Coris","auricularis",12,14,2,16.6666666666667
"2014-12_Geographe.Bay_stereoBRUVs","858","Labridae","Coris","auricularis",53,55,2,3.77358490566038
"2014-12_Geographe.Bay_stereoBRUVs","GBR-BOB","Labridae","Coris","auricularis",31,33,2,6.45161290322581
