"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Mullidae","Parupeneus","chrysopleuron",0.16,0.631,0.016,9.26,18.49,33.21
"Berycidae","Centroberyx","lineatus",0.158,0.29,0.083,18.06,22.05,27.24
"Terapontidae","Pelsartia","humeralis",0.155,0.339,0.061,16.15,21.45,28.42
"Aracanidae","Anoplocapros","lenticularis",0.153,0.243,0.03,11.36,18.85,22.77
"Pomacentridae","Parma","mccullochi",0.134,0.21,0.022,9.97,17.77,21.29
"Labridae","Coris","auricularis",0.117,0.485,0.003,6.27,18.33,33.99
"Monacanthidae","Nelusetta","ayraud",0.111,0.121,0.1,21.06,21.77,22.48
"Hypnidae","Hypnos","monopterygius",0.11,0.11,0.11,21.36,21.36,21.36
"Nemipteridae","Pentapodus","vitta",0.103,0.133,0.057,16.01,19.41,21.29
"Sillaginidae","Sillago","schomburgkii",0.093,0.142,0.041,18.03,23.09,26.84
"Ostraciidae","Aracana","aurita",0.091,0.091,0.091,16.44,16.44,16.44
"Terapontidae","Pelates","sexlineatus",0.089,0.119,0.065,19.32,21.3,23.5
"Pomacentridae","Parma","victoriae",0.088,0.088,0.088,15.9,15.9,15.9
"Labridae","Ophthalmolepis","lineolatus",0.087,0.288,0.002,6.55,20.94,33.99
"Monacanthidae","Scobinichthys","granulatus",0.086,0.271,0.005,6.38,16.39,25.5
"Enoplosidae","Enoplosus","armatus",0.081,0.116,0.05,20.79,24.09,27.16
"Pempherididae","Pempheris","multiradiata",0.077,0.077,0.077,17.11,17.11,17.11
"Platycephalidae","Platycephalus","spp",0.071,2.178,0.005,9.15,20.82,72.61
"Carangidae","Trachurus","novaezelandiae",0.071,0.517,0.014,7.7,13.43,28.59
"Scorpididae","Neatypus","obliquus",0.068,0.172,0.002,4.03,13.19,18.28
"Monacanthidae","Acanthaluteres","vittiger",0.064,0.399,0.007,7.27,14.86,29.12
"Labridae","Pictilabrus","laticlavius",0.064,0.079,0.04,15.34,17.73,19.11
"Serranidae","Caesioperca","sp.",0.061,0.087,0.032,12.43,15.39,17.51
"Mullidae","Upeneus","tragula",0.058,0.058,0.058,15.34,15.34,15.34
"Mullidae","Upeneichthys","vlamingii",0.056,0.233,0.004,6.83,15.5,25.72
"Chaetodontidae","Chelmonops","curiosus",0.055,0.149,0.004,5.71,12.77,18.58
"Serranidae","Hypoplectrodes","nigroruber",0.048,0.092,0.018,12.77,17.22,22.14
"Platycephalidae","Platycephalus","grandispinis",0.043,0.046,0.041,19,19.41,19.82
"Monacanthidae","Thamnaconus","degeni",0.038,0.038,0.038,12.98,12.98,12.98
"Clupeidae","Sprattus","sprattus",0.037,0.037,0.037,15.22,15.22,15.22
"Chaetodontidae","Chaetodon","assarius",0.034,0.039,0.03,10.81,11.32,11.84
"Monacanthidae","Meuschenia","australis",0.033,0.033,0.033,12.4,12.4,12.4
"Mullidae","Upeneichthys","lineatus",0.033,0.046,0.02,10.07,11.62,13.17
"Platycephalidae","Platycephalus","laevigatus",0.033,0.033,0.033,17.81,17.81,17.81
"Labridae","Pseudolabrus","biserialis",0.032,0.06,0.004,5.91,11.58,14.56
"Odacidae","Heteroscarus","acroptilus",0.025,0.025,0.025,14.3,14.3,14.3
"Labridae","Anampses","geographicus",0.024,0.025,0.022,12.31,12.66,12.97
"Pempherididae","Pempheris","klunzingeri",0.022,0.055,0.003,5.5,10.76,15.29
"Pinguipedidae","Parapercis","ramsayi",0.018,0.032,0.01,10.69,12.62,15.59
"Labridae","Anampses","meleagrides",0.017,0.017,0.017,10.61,10.61,10.61
"Gerreidae","Parequula","melbournensis",0.015,0.093,0.001,3.39,9.03,17.26
"Labridae","Halichoeres","brownfieldi",0.014,0.023,0.004,7.2,10.26,12.42
"Labridae","Austrolabrus","maculatus",0.013,0.024,0.001,4.13,8.56,10.66
"Labridae","Eupetrichthys","angustipes",0.008,0.012,0.001,5.04,8.58,10.41
"Labridae","Dotalabrus","aurantiacus",0.006,0.007,0.006,8.11,8.39,8.67
"Odacidae","Siphonognathus","beddomei",0.005,0.005,0.005,9.82,9.82,9.82
"Pinguipedidae","Parapercis","haackei",0.003,0.005,0.002,6.06,7.32,8.38
"Pomacentridae","Chromis","klunzingeri",0.002,0.002,0.002,5.08,5.08,5.08
"Tetraodontidae","Torquigener","pallimaculatus",0.002,0.003,0.001,4.5,5.25,6
"Odacidae","Siphonognathus","caninis",0.002,0.003,0.001,6.5,7.42,8.34
"Plesiopidae","Trachinops","noarlungae",0.001,0.002,0.001,5.4,5.91,6.58
