"campaignid","sample","family","genus","species"
"2014-12_Geographe-bay","554","Terapontidae","Pelates","sexlineatus"
"2014-12_Geographe-bay","58","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","599","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","62","Mullidae","Upeneichthys","sp1"
"2014-12_Geographe-bay","62","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","624","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","63","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","634","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","647","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","67","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","69","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","694","Odacidae","Heteroscarus","acroptilus"
"2014-12_Geographe-bay","694","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","698","Odacidae","Heteroscarus","acroptilus"
"2014-12_Geographe-bay","698","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","70","Mullidae","Upeneichthys","sp1"
"2014-12_Geographe-bay","71","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","719","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","72","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","76","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","764","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","77","Serranidae","Caesioperca","sp1"
"2014-12_Geographe-bay","77","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","78","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","783","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","79","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","791","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","800","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","81","Mullidae","Upeneichthys","sp1"
"2014-12_Geographe-bay","826","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","83","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","84","Mullidae","Upeneichthys","sp1"
"2014-12_Geographe-bay","848","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","858","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","86","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","87","Cheilodactylidae","Cheilodactylus","vestitus"
"2014-12_Geographe-bay","87","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","88","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","90","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","91","Mullidae","Upeneichthys","sp1"
"2014-12_Geographe-bay","91","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","92","Mullidae","Upeneichthys","sp1"
"2014-12_Geographe-bay","92","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","95","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","GBR1-2","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","GBR1-4","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","GBR4-1","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","GBR5-3","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","RB1","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","RB2","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","RC1","Mullidae","Upeneichthys","sp1"
"2014-12_Geographe-bay","RC1","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","RC2","Trygonorrhinidae","Trygonorrhina","dumerilii"
"Curtin","28","Mullidae","Upeneichthys","lineatus"
"Curtin","28","Serranidae","Caesioperca","sp."
"Curtin","295","Carcharhinidae","Carcharhinus","sp1"
"Curtin","33","Carangidae","Seriolina","nigrofasciata"
"Curtin","448","Odacidae","Heteroscarus","acroptilus"
"Curtin","583","Exocoetidae","Cypselurus","angusticeps"
"Curtin","583","Monacanthidae","Paramonacanthus","otisensis"
"Curtin","684","Mullidae","Upeneichthys","lineatus"
"Curtin","694","Odacidae","Heteroscarus","acroptilus"
"Curtin","711","Terapontidae","Pelates","sexlineatus"
"Curtin","75","Terapontidae","Pelates","sexlineatus"
"Curtin","77","Serranidae","Caesioperca","sp."
"Curtin","858","Rhinobatidae","Trygonorrhina","fasciata"
"Curtin","98","Serranidae","Caesioperca","sp."
"Curtin","GBR1-3","Exocoetidae","Cypselurus","angusticeps"
