"","X","Sample","UWA.con.number","Time.x","Site.x","Location.x","Status.x","Depth.x","Maxn.analyst","Maxn.complete.yyyymmdd","Maxn.checker","Curtin.Observer","Curtin.length.analyst","Observer.x","Successful.count.x","Successful.length.x","Left.cam","Right.cam","Video.notes","Con.hdd.number","Raw.hdd.number","Habitat.image.saved","Vis.in.metres","Habitat.classification","Length.analyst","Length.complete.date.yyyymmdd","Notes","Latitude","Longitude","Date","Time.y","Location.y","Status.y","Site.y","Depth.y","Observer.y","Successful.count.y","Successful.length.y","Comment"
"16","2014-12_Geographe.Bay_stereoBRUVs","16","1","12:21:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","20","Hayley","29.06.20","Brooke Gibbons","Lauren","Laura","Hayley","","",25,26,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3889,115.4986167,20141211,"12:21:00","Geographe.Bay","Fished",NA,20,"Lauren","Yes","Yes",NA
"17","2014-12_Geographe.Bay_stereoBRUVs","17","1","13:27:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","38.8","Hayley","30.06.20","Brooke - ask todd about lil unknowns","Laura","Tamy","Hayley","","",21,22,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3635833,115.23265,20141210,"13:27:00","Geographe.Bay","Fished",NA,38.8,"Laura","Yes","Yes",NA
"18","2014-12_Geographe.Bay_stereoBRUVs","18","1","07:44:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","42.4","Hayley","30.06.20","Brooke Gibbons","Lizzy","Ronen","Hayley","","",23,24,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3926,115.0981333,20141210,"07:44:00","Geographe.Bay","Fished",NA,42.4,"Lizzy","Yes","Yes",NA
"19","2014-12_Geographe.Bay_stereoBRUVs","19","2","10:33:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","26","Logan","9.7.20","Brooke Gibbons","Lauren","Lauren","Logan","","",19,20,"","4",NA,NA,NA,NA,NA,NA,"Snapper present",-33.4605,115.3618,20141213,"10:33:00","Geographe.Bay","Fished",NA,26,"Lauren","Yes","Yes",NA
"20","2014-12_Geographe.Bay_stereoBRUVs","20","1","11:09:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","36","Hayley","1.7.20","Brooke Gibbons -  change king wrasse","Laura","Ronen","Hayley","","",5,6,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.4338667,115.2221167,20141210,"11:09:00","Geographe.Bay","Fished",NA,36,"Laura","Yes","Yes",NA
"21","2014-12_Geographe.Bay_stereoBRUVs","21","","06:54:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","15.7","","","","Lauren","Laura","","","",23,24,"","BH",NA,NA,NA,NA,NA,NA,"",-33.3857167,115.39765,20141214,"06:54:00","Geographe.Bay","Fished",NA,15.7,"Lauren","Yes","Yes",NA
"22","2014-12_Geographe.Bay_stereoBRUVs","22","1","07:10:00",NA,"Geographe Bay","Multiple Use Zone","22.6","test video","","Brooke Gibbons","Lizzy","Ronen","test video","","",17,18,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.57455,115.1806667,20141209,"07:10:00","Geographe.Bay","Fished",NA,22.6,"Lizzy","Yes","Yes",NA
"23","2014-12_Geographe.Bay_stereoBRUVs","23","","06:13:00",NA,"Geographe Bay","Multiple Use Zone","13.6","","","","N/A","N/A","","No","No",17,18,"","",NA,NA,NA,NA,NA,NA,"Facing up",-33.5041833,115.4289333,20141216,"11:29:00","Geographe.Bay","Fished",NA,13.6,"Lauren","Yes","Yes",NA
"24","2014-12_Geographe.Bay_stereoBRUVs","23","1","11:29:00",NA,"Geographe Bay","Multiple Use Zone","13.6","Hayley","1.7.20","Brooke - two to check with todd","Lauren","Laura","Hayley","","",11,12,"","3",NA,NA,NA,NA,NA,NA,"",-33.5041833,115.4289333,20141216,"11:29:00","Geographe.Bay","Fished",NA,13.6,"Lauren","Yes","Yes",NA
"25","2014-12_Geographe.Bay_stereoBRUVs","24","1","06:05:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","29.2","Hayley","1.7.20","Brooke - one to check with todd","Lizzy","Laura","Hayley","","",9,10,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.47115,115.2861667,20141209,"06:05:00","Geographe.Bay","Fished",NA,29.2,"Lizzy","Yes","Yes",NA
