 ,Sample,UWA.con.number,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Curtin.Observer,Curtin.length.analyst,Observer,Successful.count,Successful.length,Left.cam,Right.cam,Video.notes,Con.hdd.number,Raw.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd,Notes
2014-12_Geographe.Bay_stereoBRUVs,24,1,,,2014-12-09,06:05:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),29.2,Hayley,1.7.20,Brooke - one to check with todd,Lizzy,Laura,Hayley,,,9,10,Y,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,25,1,,,2014-12-10,07:10:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),42.5,Hayley,2.7.20,Brooke Gibbons,Lauren,Lizzy,Hayley,,,19,20,Y,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,26,1,,,2014-12-12,11:02:00,,Geographe Bay,Multiple Use Zone,20.5,Hayley,3.7.20,Brooke Gibbons,Laura,Damo,Hayley,,,9,10,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,27,1,,,2014-12-09,07:00:00,,Geographe Bay,Multiple Use Zone,28.2,Hayley,3.7.20,Brooke Gibbons,Lauren,Ronen,Hayley,,,23,24,Y,1,,,,,,,1B=BLUE HOUSING
2014-12_Geographe.Bay_stereoBRUVs,28,1,,,2014-12-11,07:07:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),34,Hayley,3.7.20,Brooke - two to check with todd,Lizzy,Lizzy,Hayley,,,15,16,Y,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,29,1,,,2014-12-09,10:30:00,,Geographe Bay,Multiple Use Zone,34.3,Hayley,3.7.20,,Lauren,Lizzy,Hayley,,,23,24,Y,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,30,1,,,2014-12-11,06:37:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),31.8,Hayley,13.7.20,,Lizzy,Lauren,Hayley,,,9,10,Y,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,31,2,,,2014-12-12,05:55:00,,Geographe Bay,Multiple Use Zone,26.3,Logan,9.7.20,,laura,Lauren,Logan,,,15,16,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,32,1,,,2014-12-13,07:53:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),14.1,Hayley,13.7.20,,Laura,Lizzy,Hayley,,,11,12,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,33,,,,2014-12-11,08:54:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),34.1,,,,Lauren,N/A,,,No,13,14,R=FAIL,1L,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,34,,,,2014-12-10,07:05:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),43,,,,Lizzy,N/A,,,No,5,6,Right=FAIL,2L,,,,,,,
