"","x","sample","uwa.con.number","date","time","site","location","status","depth","maxn.analyst","maxn.complete.yyyymmdd","maxn.checker","curtin.observer","curtin.length.analyst","observer","successful.count","successful.length","left.cam","right.cam","video.notes","con.hdd.number","raw.hdd.number","habitat.image.saved","vis.in.metres","habitat.classification","length.analyst","length.complete.date.yyyymmdd","notes","latitude","longitude"
"11","2014-12_Geographe.Bay_stereoBRUVs","12","1","2014-12-10","14:00:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","38.7","Hayley ","29.06.20","Brooke Gibbons","Lauren","Ronen","Hayley ","Yes","",17,18,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.40395,115.2615667
"12","2014-12_Geographe.Bay_stereoBRUVs","13","1","2014-12-09","13:41:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","42.4","Hayley ","29.06.20","Brooke Gibbons","Lauren","Ronen","Hayley ","Yes","",21,22,"Y","1",NA,NA,NA,NA,NA,NA,"BLUE HOUSING, FACING UP A BIT, CHECK",-33.4501833,115.0925167
"13","2014-12_Geographe.Bay_stereoBRUVs","14","2","2014-12-13","05:56:00",NA,"Geographe Bay","Multiple Use Zone","13.2","Logan","08.07.20","Brooke Gibbons","Lizzy","Lauren","Logan","Yes","",21,22,"","4",NA,NA,NA,NA,NA,NA,"",-33.5296667,115.4130333
"14","2014-12_Geographe.Bay_stereoBRUVs","15","2","2014-12-12","06:27:00",NA,"Geographe Bay","Habitat Protection Zone","26.2","Logan","08.07.20","Brooke Gibbons","laura","Lauren","Logan","Yes","",23,24,"","4",NA,NA,NA,NA,NA,NA,"",-33.5782333,115.2147833
"15","2014-12_Geographe.Bay_stereoBRUVs","16","1","2014-12-11","12:21:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","20","Hayley","29.06.20","Brooke Gibbons","Lauren","Laura","Hayley","Yes","",25,26,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3889,115.4986167
"16","2014-12_Geographe.Bay_stereoBRUVs","17","1","2014-12-10","13:27:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","38.8","Hayley","30.06.20","Brooke Gibbons","Laura","Tamy","Hayley","Yes","",21,22,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3635833,115.23265
"17","2014-12_Geographe.Bay_stereoBRUVs","18","1","2014-12-10","07:44:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","42.4","Hayley","30.06.20","Brooke Gibbons","Lizzy","Ronen","Hayley","Yes","",23,24,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3926,115.0981333
"18","2014-12_Geographe.Bay_stereoBRUVs","19","2","2014-12-13","10:33:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","26","Logan","9.7.20","Brooke Gibbons","Lauren","Lauren","Logan","Yes","",19,20,"","4",NA,NA,NA,NA,NA,NA,"Snapper present",-33.4605,115.3618
"19","2014-12_Geographe.Bay_stereoBRUVs","20","1","2014-12-10","11:09:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","36","Hayley","1.7.20","Brooke Gibbons","Laura","Ronen","Hayley","Yes","",5,6,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.4338667,115.2221167
"20","2014-12_Geographe.Bay_stereoBRUVs","21","","2014-12-14","06:54:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","15.7","","","","Lauren","Laura","","","",23,24,"","BH",NA,NA,NA,NA,NA,NA,"",-33.3857167,115.39765
"21","2014-12_Geographe.Bay_stereoBRUVs","22","1","2014-12-09","07:10:00",NA,"Geographe Bay","Multiple Use Zone","22.6","test video","","Brooke Gibbons","Lizzy","Ronen","test video","","",17,18,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.57455,115.1806667
"22","2014-12_Geographe.Bay_stereoBRUVs","23","","2014-12-13","06:13:00",NA,"Geographe Bay","Multiple Use Zone","13.6","","","","N/A","N/A","","No","No",17,18,"","",NA,NA,NA,NA,NA,NA,"Facing up",-33.5041833,115.4289333
"23","2014-12_Geographe.Bay_stereoBRUVs","23","1","2014-12-16","11:29:00",NA,"Geographe Bay","Multiple Use Zone","13.6","Hayley","1.7.20","Brooke Gibbons","Lauren","Laura","Hayley","Yes","",11,12,"","3",NA,NA,NA,NA,NA,NA,"",-33.5041833,115.4289333
"24","2014-12_Geographe.Bay_stereoBRUVs","24","1","2014-12-09","06:05:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","29.2","Hayley","1.7.20","Brooke Gibbons","Lizzy","Laura","Hayley","Yes","",9,10,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.47115,115.2861667
"25","2014-12_Geographe.Bay_stereoBRUVs","25","1","2014-12-10","07:10:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","42.5","Hayley","2.7.20","Brooke Gibbons","Lauren","Lizzy","Hayley","Yes","",19,20,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3833333,115.0827833
"26","2014-12_Geographe.Bay_stereoBRUVs","26","1","2014-12-12","11:02:00",NA,"Geographe Bay","Multiple Use Zone","20.5","Hayley","3.7.20","Brooke Gibbons","Laura","Damo","Hayley","Yes","",9,10,"","3",NA,NA,NA,NA,NA,NA,"",-33.5500333,115.3236167
