"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","complexity","sqrt.rug","sqrtLC","sqrtHC","sqrtMacro","SCORE1","SCORE2","ZONE"
"Piscivore.abundance.sqrtMacro","sqrtMacro",466.720987014778,485.838234290465,0.28725,NA,7.41,0,7.713,10.508,0.005,0.002,0,0,0,0,1,0,0,0
"Piscivore.abundance.SCORE2+sqrtMacro","SCORE2+sqrtMacro",469.020196576821,490.332848841614,0.29797,NA,9.03,0,10.012,15.002,0.002,0,0,0,0,0,1,0,1,0
"Piscivore.abundance.sqrtHC+sqrtLC","sqrtHC+sqrtLC",469.674870744569,490.614564072061,0.31489,NA,8.59,0,10.667,15.284,0.001,0,0,0,1,1,0,0,0,0
"Piscivore.abundance.sqrtLC+ZONE","sqrtLC+ZONE",469.9772657774,486.219097103538,0.23659,NA,7.29,1,10.969,10.888,0.001,0.001,0,0,1,0,0,0,0,1
"Piscivore.abundance.sqrt.rug+ZONE","sqrt.rug+ZONE",470.374329315293,490.33002931861,0.28794,NA,8.03,0,11.366,14.999,0.001,0,0,1,0,0,0,0,0,1
"Piscivore.abundance.sqrt.rug","sqrt.rug",470.425709918844,490.335425757638,0.29087,NA,7.69,0,11.417,15.005,0.001,0,0,1,0,0,0,0,0,0
"Piscivore.abundance.sqrtLC.by.ZONE+ZONE","sqrtLC.by.ZONE+ZONE",470.651153564218,488.395976438512,0.24824,NA,8.35,1,11.643,13.065,0.001,0,0,0,1,0,0,0,0,1
"Piscivore.abundance.sqrtHC","sqrtHC",472.581495660506,492.992623933515,0.2731,NA,8.15,0,13.573,17.662,0,0,0,0,0,1,0,0,0,0
"Piscivore.abundance.sqrtLC","sqrtLC",472.824814769461,490.758866093576,0.24872,NA,6.58,0,13.817,15.428,0,0,0,0,1,0,0,0,0,0
"Piscivore.abundance.sqrtHC+ZONE","sqrtHC+ZONE",472.926385214105,493.752319699036,0.27653,NA,8.8,0,13.918,18.422,0,0,0,0,0,1,0,0,0,1
"Piscivore.abundance.SCORE2+sqrt.rug","SCORE2+sqrt.rug",473.301014895337,494.425989368453,0.29154,NA,8.7,0,14.293,19.095,0,0,0,1,0,0,0,0,1,0
"Piscivore.abundance.sqrt.rug.by.ZONE+ZONE","sqrt.rug.by.ZONE+ZONE",474.41623224856,495.687713724951,0.28821,NA,9.03,0,15.408,20.357,0,0,0,1,0,0,0,0,0,1
"Piscivore.abundance.sqrtHC.by.ZONE+ZONE","sqrtHC.by.ZONE+ZONE",475.318977420906,497.435671418324,0.29305,NA,9.85,0,16.311,22.105,0,0,0,0,0,1,0,0,0,1
"Piscivore.abundance.null","null",475.495937167179,492.709286247807,0.20481,NA,5.9,0,16.488,17.379,0,0,0,0,0,0,0,0,0,0
"Piscivore.abundance.ZONE","ZONE",476.380431787211,494.385813308747,0.20979,NA,6.69,0,17.372,19.055,0,0,0,0,0,0,0,0,0,1
"Piscivore.abundance.SCORE2","SCORE2",478.256444563484,497.630413043329,0.21286,NA,7.37,0,19.248,22.3,0,0,0,0,0,0,0,0,1,0
"Piscivore.abundance.SCORE2+ZONE","SCORE2+ZONE",479.228247787829,499.335177073524,0.21829,NA,8.18,0,20.22,24.004,0,0,0,0,0,0,0,0,1,1
"Piscivore.abundance.SCORE2.by.ZONE+ZONE","SCORE2.by.ZONE+ZONE",481.400094650148,502.743287180442,0.22042,NA,9.27,0,22.392,27.413,0,0,0,0,0,0,0,0,1,1
"Planktivore.abundance.SCORE1","SCORE1",687.556680213039,702.785655416664,0.33218,NA,6.72,1,0,0,0.432,0.652,0,0,0,0,0,1,0,0
"Planktivore.abundance.SCORE1+SCORE2","SCORE1+SCORE2",689.658954620805,706.4674492132,0.33141,NA,7.75,1,2.102,3.682,0.151,0.103,0,0,0,0,0,1,1,0
"Planktivore.abundance.SCORE1+ZONE","SCORE1+ZONE",689.904838037754,706.704701646136,0.33674,NA,7.73,1,2.348,3.919,0.134,0.092,0,0,0,0,0,1,0,1
"Planktivore.abundance.complexity+SCORE2","complexity+SCORE2",689.964012872827,708.201203290898,0.29097,NA,8.6,1,2.407,5.416,0.13,0.043,1,0,0,0,0,0,1,0
"Planktivore.abundance.SCORE1.by.ZONE+ZONE","SCORE1.by.ZONE+ZONE",691.076958694852,710.562009743641,0.3692,NA,9.39,1,3.52,7.776,0.074,0.013,0,0,0,0,0,1,0,1
"Planktivore.abundance.complexity","complexity",691.647527525536,706.943821006469,0.25921,NA,6.84,1,4.091,4.158,0.056,0.081,1,0,0,0,0,0,0,0
"Planktivore.abundance.complexity+ZONE","complexity+ZONE",693.647767400668,710.501972537199,0.26437,NA,7.84,1,6.091,7.716,0.021,0.014,1,0,0,0,0,0,0,1
"Planktivore.abundance.complexity.by.ZONE+ZONE","complexity.by.ZONE+ZONE",698.000816852235,717.223578113191,0.27689,NA,9.25,1,10.444,14.438,0.002,0,1,0,0,0,0,0,0,1
"Planktivore.abundance.sqrt.rug","sqrt.rug",701.363994594562,716.667517171372,0.27883,NA,6.87,1,13.807,13.882,0,0.001,0,1,0,0,0,0,0,0
"Planktivore.abundance.SCORE2+sqrt.rug","SCORE2+sqrt.rug",703.653431494634,720.518755464044,0.28043,NA,7.87,1,16.097,17.733,0,0,0,1,0,0,0,0,1,0
"Planktivore.abundance.sqrt.rug+ZONE","sqrt.rug+ZONE",703.965092720831,720.824462376504,0.28323,NA,7.87,1,16.408,18.039,0,0,0,1,0,0,0,0,0,1
"Planktivore.abundance.sqrt.rug.by.ZONE+ZONE","sqrt.rug.by.ZONE+ZONE",708.144490305313,727.778581376036,0.28406,NA,9.65,1,20.588,24.993,0,0,0,1,0,0,0,0,0,1
"Planktivore.abundance.SCORE2+sqrtMacro","SCORE2+sqrtMacro",714.169500719325,733.720698945262,0.32515,NA,9.4,1,26.613,30.935,0,0,0,0,0,0,1,0,1,0
"Planktivore.abundance.sqrtMacro","sqrtMacro",714.757945374805,731.485115553928,0.28614,NA,7.52,1,27.201,28.699,0,0,0,0,0,0,1,0,0,0
"Planktivore.abundance.sqrtMacro.by.ZONE+ZONE","sqrtMacro.by.ZONE+ZONE",716.642224640684,736.538899771479,0.34365,NA,9.6,1,29.086,33.753,0,0,0,0,0,0,1,0,0,1
"Planktivore.abundance.sqrtHC+sqrtLC","sqrtHC+sqrtLC",716.90530752167,734.800551798948,0.35387,NA,7.37,0,29.349,32.015,0,0,0,0,1,1,0,0,0,0
"Planktivore.abundance.sqrtMacro+ZONE","sqrtMacro+ZONE",718.742211936333,738.429629559317,0.29932,NA,8.51,0,31.186,35.644,0,0,0,0,0,0,1,0,0,1
"Planktivore.abundance.sqrtHC","sqrtHC",730.428655992693,749.682121242032,0.26848,NA,7.35,0,42.872,46.896,0,0,0,0,0,1,0,0,0,0
"Planktivore.abundance.sqrtLC","sqrtLC",731.964204250523,750.852503427553,0.28069,NA,7,0,44.408,48.067,0,0,0,0,1,0,0,0,0,0
"Planktivore.abundance.sqrtHC+ZONE","sqrtHC+ZONE",732.046167236227,752.57781386316,0.27033,NA,8.47,0,44.489,49.792,0,0,0,0,0,1,0,0,0,1
"Planktivore.abundance.sqrtHC.by.ZONE+ZONE","sqrtHC.by.ZONE+ZONE",732.919415068723,754.585929865194,0.32096,NA,9.41,0,45.363,51.8,0,0,0,0,0,1,0,0,0,1
"Planktivore.abundance.null","null",733.318766367918,747.945341171444,0.2026,NA,5.73,0,45.762,45.16,0,0,0,0,0,0,0,0,0,0
"Planktivore.abundance.sqrtLC+ZONE","sqrtLC+ZONE",733.339340598827,753.50892829185,0.29893,NA,8,0,45.783,50.723,0,0,0,0,1,0,0,0,0,1
"Planktivore.abundance.SCORE2","SCORE2",734.599399872139,754.42236860177,0.27471,NA,7.81,0,47.043,51.637,0,0,0,0,0,0,0,0,1,0
"Planktivore.abundance.sqrtLC.by.ZONE+ZONE","sqrtLC.by.ZONE+ZONE",736.062804305774,757.431332963968,0.30688,NA,8.98,0,48.506,54.646,0,0,0,0,1,0,0,0,0,1
"Planktivore.abundance.SCORE2+ZONE","SCORE2+ZONE",736.968023252146,758.383521227059,0.28096,NA,9.1,0,49.411,55.598,0,0,0,0,0,0,0,0,1,1
"Planktivore.abundance.ZONE","ZONE",737.066124140695,754.97095339,0.21172,NA,6.74,0,49.509,52.185,0,0,0,0,0,0,0,0,0,1
"Planktivore.abundance.SCORE2.by.ZONE+ZONE","SCORE2.by.ZONE+ZONE",738.693651297668,760.684281172934,0.29845,NA,9.67,0,51.137,57.899,0,0,0,0,0,0,0,0,1,1
"Herbivore.biomass.complexity","complexity",1194.11540939284,1208.69932945989,0.37262,NA,6.2,1,0,0,0.639,0.809,1,0,0,0,0,0,0,0
"Herbivore.biomass.complexity+ZONE","complexity+ZONE",1196.3315933527,1212.24358105865,0.37352,NA,7.08,1,2.216,3.544,0.211,0.137,1,0,0,0,0,0,0,1
"Herbivore.biomass.complexity+SCORE2","complexity+SCORE2",1197.38505997673,1214.56743931846,0.38113,NA,7.01,0,3.27,5.868,0.125,0.043,1,0,0,0,0,0,1,0
"Herbivore.biomass.SCORE1","SCORE1",1202.02658222926,1217.92254765246,0.35324,NA,6.93,1,7.911,9.223,0.012,0.008,0,0,0,0,0,1,0,0
"Herbivore.biomass.complexity.by.ZONE+ZONE","complexity.by.ZONE+ZONE",1203.98741460522,1224.23800383677,0.3901,NA,8.61,0,9.872,15.539,0.005,0,1,0,0,0,0,0,0,1
"Herbivore.biomass.SCORE1+ZONE","SCORE1+ZONE",1204.00579729921,1220.90384216221,0.35478,NA,7.68,1,9.89,12.205,0.005,0.002,0,0,0,0,0,1,0,1
"Herbivore.biomass.SCORE1+SCORE2","SCORE1+SCORE2",1204.62998898755,1222.81311183981,0.36495,NA,8.26,1,10.515,14.114,0.003,0.001,0,0,0,0,0,1,1,0
"Herbivore.biomass.SCORE1.by.ZONE+ZONE","SCORE1.by.ZONE+ZONE",1208.94651885581,1228.74943277097,0.36492,NA,9.46,1,14.831,20.05,0,0,0,0,0,0,0,1,0,1
"Herbivore.biomass.sqrt.rug","sqrt.rug",1218.34321372745,1233.56740466121,0.28607,NA,6.71,1,24.228,24.868,0,0,0,1,0,0,0,0,0,0
"Herbivore.biomass.sqrt.rug.by.ZONE+ZONE","sqrt.rug.by.ZONE+ZONE",1219.69813167936,1239.32297995767,0.3064,NA,9.58,1,25.583,30.624,0,0,0,1,0,0,0,0,0,1
"Herbivore.biomass.SCORE2+sqrt.rug","SCORE2+sqrt.rug",1220.41393351594,1237.19855581688,0.29398,NA,7.7,1,26.299,28.499,0,0,0,1,0,0,0,0,1,0
"Herbivore.biomass.sqrt.rug+ZONE","sqrt.rug+ZONE",1220.88084384339,1237.66992312859,0.28422,NA,7.71,1,26.765,28.971,0,0,0,1,0,0,0,0,0,1
"Herbivore.biomass.sqrtMacro","sqrtMacro",1234.03330018269,1253.29618727019,0.30499,NA,7.27,0,39.918,44.597,0,0,0,0,0,0,1,0,0,0
"Herbivore.biomass.SCORE2+sqrtMacro","SCORE2+sqrtMacro",1234.22645983936,1255.41217188497,0.34524,NA,8.62,0,40.111,46.713,0,0,0,0,0,0,1,0,1,0
"Herbivore.biomass.sqrtMacro+ZONE","sqrtMacro+ZONE",1236.28418552379,1257.17254474528,0.31044,NA,8.5,0,42.169,48.473,0,0,0,0,0,0,1,0,0,1
"Herbivore.biomass.sqrtMacro.by.ZONE+ZONE","sqrtMacro.by.ZONE+ZONE",1238.0219482507,1260.28503438884,0.32002,NA,9.75,0,43.907,51.586,0,0,0,0,0,0,1,0,0,1
"Herbivore.biomass.sqrtHC+sqrtLC","sqrtHC+sqrtLC",1246.43877279451,1268.21918795349,0.25498,NA,9.08,0,52.323,59.52,0,0,0,0,1,1,0,0,0,0
"Herbivore.biomass.null","null",1246.47863031604,1260.06102569448,0.15724,NA,5.66,1,52.363,51.362,0,0,0,0,0,0,0,0,0,0
"Herbivore.biomass.sqrtHC","sqrtHC",1247.12286608982,1263.78015899661,0.19318,NA,7.36,1,53.007,55.081,0,0,0,0,0,1,0,0,0,0
"Herbivore.biomass.ZONE","ZONE",1247.99861611481,1263.64938376535,0.15399,NA,6.72,1,53.883,54.95,0,0,0,0,0,0,0,0,0,1
"Herbivore.biomass.sqrtHC+ZONE","sqrtHC+ZONE",1248.42780647744,1266.58063288157,0.18396,NA,8.41,1,54.312,57.881,0,0,0,0,0,1,0,0,0,1
"Herbivore.biomass.sqrtLC","sqrtLC",1248.45721543169,1267.20879587257,0.22175,NA,7.01,0,54.342,58.509,0,0,0,0,1,0,0,0,0,0
"Herbivore.biomass.sqrtHC.by.ZONE+ZONE","sqrtHC.by.ZONE+ZONE",1248.90520475692,1269.15650502217,0.21322,NA,9.5,0,54.79,60.457,0,0,0,0,0,1,0,0,0,1
"Herbivore.biomass.SCORE2","SCORE2",1249.39950531277,1265.75453642309,0.17334,NA,6.64,0,55.284,57.055,0,0,0,0,0,0,0,0,1,0
"Herbivore.biomass.sqrtLC+ZONE","sqrtLC+ZONE",1250.32220975596,1270.56141275416,0.22602,NA,8.19,0,56.207,61.862,0,0,0,0,1,0,0,0,0,1
"Herbivore.biomass.SCORE2+ZONE","SCORE2+ZONE",1251.51778374495,1270.02911196926,0.17333,NA,7.69,0,57.402,61.33,0,0,0,0,0,0,0,0,1,1
"Herbivore.biomass.sqrtLC.by.ZONE+ZONE","sqrtLC.by.ZONE+ZONE",1253.29940028661,1274.79053112623,0.2271,NA,9.22,0,59.184,66.091,0,0,0,0,1,0,0,0,0,1
"Herbivore.biomass.SCORE2.by.ZONE+ZONE","SCORE2.by.ZONE+ZONE",1254.0622422632,1276.70660536603,0.23111,NA,10.11,0,59.947,68.007,0,0,0,0,0,0,0,0,1,1
"Invertivore.biomass.complexity","complexity",1236.48620062318,1251.37608450866,0.40457,NA,6.42,1,0,0,0.473,0.705,1,0,0,0,0,0,0,0
"Invertivore.biomass.complexity+SCORE2","complexity+SCORE2",1238.43606134448,1254.86051006979,0.41124,NA,7.41,1,1.95,3.484,0.179,0.124,1,0,0,0,0,0,1,0
"Invertivore.biomass.complexity.by.ZONE+ZONE","complexity.by.ZONE+ZONE",1238.90620119724,1256.87589347085,0.42511,NA,8.54,1,2.42,5.5,0.141,0.045,1,0,0,0,0,0,0,1
"Invertivore.biomass.complexity+ZONE","complexity+ZONE",1239.13591868715,1255.55354867352,0.40472,NA,7.4,1,2.65,4.177,0.126,0.087,1,0,0,0,0,0,0,1
"Invertivore.biomass.sqrt.rug.by.ZONE+ZONE","sqrt.rug.by.ZONE+ZONE",1242.28180629192,1261.58929263009,0.39068,NA,9.53,1,5.796,10.213,0.026,0.004,0,1,0,0,0,0,0,1
"Invertivore.biomass.SCORE1","SCORE1",1242.37107080005,1258.58654662272,0.38231,NA,7.15,1,5.885,7.21,0.025,0.019,0,0,0,0,0,1,0,0
"Invertivore.biomass.SCORE1+SCORE2","SCORE1+SCORE2",1243.7973026064,1261.33531475467,0.39587,NA,8.02,1,7.311,9.959,0.012,0.005,0,0,0,0,0,1,1,0
"Invertivore.biomass.SCORE1+ZONE","SCORE1+ZONE",1245.11268465406,1262.78623930218,0.38244,NA,8.13,1,8.626,11.41,0.006,0.002,0,0,0,0,0,1,0,1
"Invertivore.biomass.sqrt.rug","sqrt.rug",1245.17007538917,1260.75580012593,0.35185,NA,6.92,1,8.684,9.38,0.006,0.006,0,1,0,0,0,0,0,0
"Invertivore.biomass.SCORE1.by.ZONE+ZONE","SCORE1.by.ZONE+ZONE",1247.29054860103,1266.29763872945,0.38415,NA,9.11,1,10.804,14.922,0.002,0,0,0,0,0,0,1,0,1
"Invertivore.biomass.sqrt.rug+ZONE","sqrt.rug+ZONE",1247.82859762901,1265.27663323378,0.3514,NA,8.05,1,11.342,13.901,0.002,0.001,0,1,0,0,0,0,0,1
"Invertivore.biomass.SCORE2+sqrt.rug","SCORE2+sqrt.rug",1247.9693797198,1266.09528353941,0.37199,NA,8.01,0,11.483,14.719,0.002,0,0,1,0,0,0,0,1,0
"Invertivore.biomass.sqrtMacro","sqrtMacro",1264.95746981695,1285.30848197341,0.36033,NA,8.18,0,28.471,33.932,0,0,0,0,0,0,1,0,0,0
"Invertivore.biomass.SCORE2+sqrtMacro","SCORE2+sqrtMacro",1266.50581167369,1288.5861430659,0.3833,NA,9.55,0,30.02,37.21,0,0,0,0,0,0,1,0,1,0
"Invertivore.biomass.sqrtMacro+ZONE","sqrtMacro+ZONE",1266.5136125476,1287.77746371414,0.36217,NA,9.1,0,30.027,36.401,0,0,0,0,0,0,1,0,0,1
"Invertivore.biomass.sqrtLC","sqrtLC",1267.37955798195,1288.01919867505,0.36948,NA,8.51,0,30.893,36.643,0,0,0,0,1,0,0,0,0,0
