"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","complexity","sqrt.rug","sqrtLC","sqrtHC","sqrtMacro","SCORE1","SCORE2","ZONE"
"Piscivore.biomass.sqrtLC","sqrtLC",1037.6634932543,1049.37903657229,0.23042,NA,5,1,11.972,11.791,0.001,0.001,0,0,1,0,0,0,0,0
"Piscivore.biomass.sqrtLC.by.ZONE+ZONE","sqrtLC.by.ZONE+ZONE",1039.5712445813,1054.56491289485,0.26884,NA,7,1,13.88,16.976,0,0,0,0,1,0,0,0,0,1
"Piscivore.biomass.sqrtLC+ZONE","sqrtLC+ZONE",1040.05666461425,1053.68908626967,0.23455,NA,6.07,1,14.365,16.101,0,0,0,0,1,0,0,0,0,1
"Piscivore.biomass.null","null",1042.48667178841,1053.82972692704,0.20321,NA,4.5,1,16.795,16.241,0,0,0,0,0,0,0,0,0,0
"Piscivore.biomass.ZONE","ZONE",1044.76020100672,1057.56222796777,0.20314,NA,5.4,1,19.069,19.974,0,0,0,0,0,0,0,0,0,1
"Piscivore.biomass.SCORE2","SCORE2",1045.18472319208,1058.53335427258,0.20255,NA,5.6,1,19.493,20.945,0,0,0,0,0,0,0,0,1,0
"Piscivore.biomass.SCORE2+ZONE","SCORE2+ZONE",1047.54591919261,1062.23313592134,0.20272,NA,6.49,1,21.855,24.645,0,0,0,0,0,0,0,0,1,1
"Piscivore.biomass.SCORE2.by.ZONE+ZONE","SCORE2.by.ZONE+ZONE",1050.18579157549,1066.35777494284,0.20236,NA,7.47,1,24.494,28.769,0,0,0,0,0,0,0,0,1,1
"Planktivore.biomass.complexity+ZONE","complexity+ZONE",1012.26869798913,1033.93032776854,0.32784,NA,9.65,0,0,0,0.474,0.491,1,0,0,0,0,0,0,1
"Planktivore.biomass.complexity","complexity",1012.75087845216,1034.26856112296,0.32314,NA,9.31,0,0.482,0.338,0.372,0.415,1,0,0,0,0,0,0,0
