"","complexity","sqrt.rug","sqrtLC","sqrtHC","sqrtMacro","SCORE1","SCORE2","ZONE"
"complexity",1,0.752360372355475,0.505190857302921,0.319511455608477,-0.617936880885322,0.893855546068315,-0.119395919354927,0.0141083159745988
"sqrt.rug",0.752360372355475,1,0.331419230515606,0.400847334396447,-0.576732172397889,0.852539749749763,0.100521183920577,0.0908458344529627
"sqrtLC",0.505190857302921,0.331419230515606,1,-0.0701687825702016,-0.369336379282759,0.57309058956573,-0.659263012542957,0.144347678720857
"sqrtHC",0.319511455608477,0.400847334396447,-0.0701687825702016,1,-0.481337472127076,0.479581783675527,0.727071548475927,0.00630711500908203
"sqrtMacro",-0.617936880885322,-0.576732172397889,-0.369336379282759,-0.481337472127076,1,-0.820681122390253,-0.14825350399842,0.0265576215566256
"SCORE1",0.893855546068315,0.852539749749763,0.57309058956573,0.479581783675527,-0.820681122390253,1,0.000165794768930265,0.0726579082254437
"SCORE2",-0.119395919354927,0.100521183920577,-0.659263012542957,0.727071548475927,-0.14825350399842,0.000165794768930265,1,0.0984330123825992
"ZONE",0.0141083159745988,0.0908458344529627,0.144347678720857,0.00630711500908203,0.0265576215566256,0.0726579082254437,0.0984330123825992,0.99999940003658
