OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
12RC2	Lauren	17.6																	
395	Laura	9.2																	
10	Lauren	41.8		Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
782	Laura	13.7																	
439	Laura	8.9																	
81	Laura	38.9																	
13RC15	Laura	32.5																	
32	Laura	14.2																	
19	Lauren	26																	
583	Damon	12																	
10001	Lauren	15.9																	
615	Lauren	11.8																	
13RC1	Lauren	13.8																	
82	Laura	42.6																	
86	Lizzy																		
GBR5-1	Laura	16.2																	
9	Lauren	41.8		Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
44	Lauren	34.4		Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
247	Lizzy																		
110	Lauren	17																	
