OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
12RC2	50	0	1751.75285	466.15896	1578.36882	469.98534
12RC2	50	1	1472.51331	420.49944	1300.34601	431.02255
12RC2	51	0	1458.85932	446.85457	1079.23954	461.46561
12RC2	51	1	1653.53612	394.49831	1305.55133	399.36866
12RC2	52	0	1715.58935	567.39572	1585.39924	585.65953
12RC2	52	1	1490.49430	568.61330	1323.80228	586.87711
12RC2	53	0	1686.38783	585.65953	1343.26996	608.79369
12RC2	53	1	1463.72624	563.74295	1159.54373	583.22435
12RC2	54	0	834.67681	472.42390	347.98479	501.64600
12RC2	54	1	520.76046	401.80383	36.50190	443.20180
12RC2	55	0	419.77186	824.30665	0.00000	823.08906
12RC2	56	0	87.60456	563.74295	189.80989	589.31229
12RC2	56	1	232.39544	527.21533	318.78327	563.74295
395	0	0	1256.72613	472.85821	859.92970	424.06716
395	0	1	1149.61175	465.80597	744.42078	418.35821
395	1	0	1489.11857	485.36567	1132.19203	440.15672
395	1	1	1389.05561	476.29851	1035.48688	430.08209
395	2	0	1521.57188	494.46269	961.74816	443.04478
395	2	1	1405.39140	475.99254	818.36936	423.56716
395	3	0	630.59811	717.31343	50.36726	656.86567
395	4	0	1745.74816	439.01493	1479.95173	385.03731
395	4	1	1607.40609	421.88806	1353.69780	369.92537
395	5	0	1538.12592	363.82836	1242.21406	309.17164
395	5	1	1398.10493	354.08955	1103.20042	301.44776
395	6	0	1588.29486	321.50000	1220.36306	263.32090
395	6	1	1426.44806	300.67910	1083.69990	246.19403
395	7	0	1033.53620	693.13433	1081.88877	658.88060
395	8	0	1723.66632	651.10448	1352.39769	610.59701
395	8	1	578.64953	746.43284	153.55824	701.07463
395	9	0	1343.79853	850.29851	856.24344	805.97015
10	0	0	77.18593	38.87277	116.08040	125.95982
10	0	1	310.85427	57.25446	306.93467	118.72768
10	1	0	1542.35176	496.08259	1520.78392	450.81027
10	1	1	1567.97990	562.97991	1566.01005	526.14509
10	2	0	787.53769	412.23214	209.84925	414.64286
10	2	1	918.99497	426.69643	346.13065	423.08036
10	3	0	506.53266	631.60714	214.67337	631.60714
10	3	1	603.01508	609.91071	335.27638	605.08929
10	4	0	611.45729	532.76786	225.52764	536.38393
10	4	1	721.20603	542.41071	306.33166	536.38393
10	5	0	654.87437	564.10714	390.75377	558.08036
10	5	1	568.04020	590.62500	283.41709	591.83036
10	6	0	993.76884	490.58036	590.95477	477.32143
10	6	1	1110.75377	500.22321	689.84925	482.14286
10	7	0	1103.51759	464.06250	713.96985	431.51786
10	7	1	1230.15075	482.14286	829.74874	429.10714
10	8	0	1230.15075	323.03571	761.00503	300.13393
10	8	1	1362.81407	335.08929	858.69347	308.57143
10	9	0	1447.23618	296.51786	897.28643	256.74107
10	9	1	1577.48744	353.16964	992.56281	312.18750
10	10	0	1530.45226	335.08929	963.61809	284.46429
10	10	1	1655.87940	420.66964	1048.04020	373.66071
10	11	0	1611.25628	473.70536	1168.64322	429.10714
10	11	1	1698.09045	470.08929	1282.01005	417.05357
10	12	0	1608.84422	108.48214	1226.53266	47.00893
10	12	1	1489.44724	109.68750	1128.84422	55.44643
10	13	0	946.73367	20.49107	274.97487	36.16071
10	13	1	1061.30653	119.33036	379.89950	121.74107
10	14	0	1107.13568	355.58036	843.01508	337.50000
10	14	1	1195.17588	349.55357	926.23116	323.03571
10	15	0	627.13568	758.16964	67.53769	743.70536
10	15	1	767.03518	753.34821	217.08543	734.06250
10	16	0	1298.89447	249.50893	1005.82915	214.55357
10	16	1	1395.37688	200.08929	1074.57286	157.90179
10	17	0	625.92965	198.88393	266.53266	226.60714
10	17	1	699.49749	174.77679	364.22111	196.47321
10	18	0	1196.38191	304.95536	551.15578	288.08036
10	18	1	1313.36683	383.30357	665.72864	359.19643
10	19	0	1303.71859	232.63393	277.38693	215.75893
10	19	1	1398.99497	190.44643	370.25126	192.85714
10	20	0	776.68342	432.72321	555.97990	433.92857
10	20	1	858.69347	432.72321	644.02010	429.10714
10	21	0	1795.77889	306.16071	937.08543	251.91964
10	21	1	1624.52261	370.04464	776.68342	325.44643
10	22	0	1310.95477	218.16964	303.91960	208.52679
10	22	1	1407.43719	189.24107	397.98995	182.00893
10	23	0	1590.75377	378.48214	756.18090	331.47321
10	23	1	1768.04020	333.88393	909.34673	280.84821
10	24	0	1407.43719	154.28571	1087.83920	109.68750
10	24	1	1515.97990	159.10714	1179.49749	107.27679
10	25	0	841.80905	779.86607	95.27638	764.19643
10	25	1	988.94472	850.98214	189.34673	822.05357
10	26	0	1507.53769	477.32143	1249.44724	417.05357
10	26	1	1635.37688	509.86607	1372.46231	444.77679
10	27	0	1611.25628	216.96429	1283.21608	161.51786
10	27	1	1716.18090	270.00000	1382.11055	202.50000
10	28	0	1128.84422	477.32143	466.73367	461.65179
10	28	1	1027.53769	517.09821	317.18593	499.01786
10	29	0	560.80402	648.48214	2.41206	642.45536
10	29	1	712.76382	673.79464	133.86935	660.53571
10	30	0	815.27638	647.27679	423.31658	632.81250
10	30	1	921.40704	684.64286	512.56281	665.35714
10	31	0	656.08040	558.08036	194.17085	558.08036
10	31	1	774.27136	549.64286	322.01005	542.41071
10	32	0	762.38693	326.91518	477.20603	335.55804
10	32	1	934.84925	308.23214	630.07035	306.02679
10	33	0	950.91457	223.56250	847.31658	217.57366
10	33	1	1046.19095	234.71205	950.73367	219.68304
10	34	0	1592.96985	478.60268	1470.05025	432.12054
10	34	1	1776.58794	452.98884	1674.77387	391.43973
10	35	0	1079.39698	467.67857	1125.22613	448.39286
10	35	1	1005.82915	470.08929	1062.51256	449.59821
10	36	0	1516.62312	410.97098	1790.95477	356.78571
10	36	1	1175.55276	377.39732	1376.97990	344.82366
10	37	0	920.14573	498.95536	759.87437	511.39732
10	37	1	1825.92965	560.49107	1689.64824	517.09821
10	38	0	1279.59799	681.02679	1169.84925	653.30357
10	38	1	1770.45226	615.93750	1717.38693	574.95536
