OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
656	0			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
656	1			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
826	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0454835232	-0.0473735018	4.1540725793	0.0044897548	-0.0000007233	0.0000000000	0.0012554088	-0.0001258013	0.0000000000	0.0000566595	-337.9556584580	0.0000000000	0.0000000000	1.2804373054	-9.6628680249	-0.6544227016	mm
826	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0586467656	-0.0951257382	4.1595971590	0.0032906463	0.0002065893	0.0000000000	0.0003158549	-0.0022691005	0.0000000000	-0.0002374270	337.9556584580	0.0000000000	0.0000000000	-1.2804373054	4.8528215847	-1.5191209309	mm
17	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0063559075	-0.0283359894	4.1623004508	0.0036945228	0.0003334773	0.0000000000	0.0006393398	-0.0000079438	0.0000000000	0.0007392438	-341.7117486622	0.0000000000	0.0000000000	-0.0141874133	-7.1164553487	2.9981157797	mm
17	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1528027018	-0.0055431418	4.1568334568	0.0044435702	0.0000968966	0.0000000000	0.0014529506	-0.0001795135	0.0000000000	0.0025466471	341.7117486622	0.0000000000	0.0000000000	0.0141874133	6.9079449445	0.2248759783	mm
1	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0872026214	-0.0147310314	4.1795314616	0.0040703699	-0.0003771262	0.0000000000	0.0015902585	-0.0003347321	0.0000000000	-0.0002923858	-344.2046467174	0.0000000000	0.0000000000	0.3452135972	-7.5576953154	-1.9302356313	mm
1	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0805200044	-0.0376690521	4.1825056216	0.0043990869	-0.0005037546	0.0000000000	0.0015575599	-0.0004652845	0.0000000000	-0.0003092278	344.2046467174	0.0000000000	0.0000000000	-0.3452135972	8.4271393217	4.7265594920	mm
611	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0218097737	-0.0560100974	4.1476137066	0.0033151164	0.0003053701	0.0000000000	0.0003771125	-0.0011431495	0.0000000000	0.0006758495	-346.3098884193	0.0000000000	0.0000000000	-0.0966692345	-7.2182686628	-2.0809521629	mm
611	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0834371579	-0.0870409182	4.1396443788	0.0038545497	0.0002606912	0.0000000000	0.0008544122	-0.0011038072	0.0000000000	0.0013498147	346.3098884193	0.0000000000	0.0000000000	0.0966692345	7.3070310201	-1.0461073771	mm
528	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0138151767	-0.0139309727	4.1494502992	0.0036382419	0.0003590592	0.0000000000	0.0005491309	-0.0004625256	0.0000000000	0.0003805266	-345.9162499653	0.0000000000	0.0000000000	-0.2968020599	-6.4051168471	-2.3881661351	mm
528	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0859046026	-0.1239550594	4.1495378947	0.0050744497	-0.0000912233	0.0000000000	0.0004163319	-0.0018427919	0.0000000000	0.0002616171	345.9162499653	0.0000000000	0.0000000000	0.2968020599	8.3066115335	-1.8528482784	mm
650	0			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
