"sample","legal","number"
"270","non-legal",0
"271","legal",0
"271","non-legal",1
"272","legal",0
"272","non-legal",0
"279","legal",0
"279","non-legal",0
"28","legal",0
"28","non-legal",0
"282","legal",0
"282","non-legal",0
"287","legal",1
"287","non-legal",0
"288","legal",0
"288","non-legal",0
"29","legal",0
"29","non-legal",2
"295","legal",0
"295","non-legal",0
"298","legal",0
"298","non-legal",4
"3","legal",0
"3","non-legal",0
"30","legal",0
"30","non-legal",0
"304","legal",1
"304","non-legal",0
"31","legal",0
"31","non-legal",0
"314","legal",3
"314","non-legal",1
"316","legal",0
"316","non-legal",0
"32","legal",0
"32","non-legal",0
"320","legal",0
"320","non-legal",0
"327","legal",0
"327","non-legal",0
"33","legal",0
"33","non-legal",0
"330","legal",0
"330","non-legal",0
"331","legal",0
"331","non-legal",8
"335","legal",0
"335","non-legal",0
"34","legal",0
"34","non-legal",0
"346","legal",0
"346","non-legal",0
"35","legal",1
"35","non-legal",0
"352","legal",0
"352","non-legal",0
"36","legal",0
"36","non-legal",0
"362","legal",0
"362","non-legal",0
"368","legal",0
"368","non-legal",0
"37","legal",0
"37","non-legal",0
"375","legal",0
"375","non-legal",0
"378","legal",0
"378","non-legal",0
"38","legal",0
"38","non-legal",0
"384","legal",0
"384","non-legal",0
"39","legal",1
"39","non-legal",0
"391","legal",0
"391","non-legal",0
"394","legal",0
"394","non-legal",0
"395","legal",0
"395","non-legal",0
"399","legal",0
"399","non-legal",0
"4","legal",0
"4","non-legal",0
"40","legal",0
"40","non-legal",0
"400","legal",0
"400","non-legal",0
"407","legal",1
"407","non-legal",0
"41","legal",0
"41","non-legal",0
"416","legal",0
"416","non-legal",0
"42","legal",0
"42","non-legal",0
"428","legal",0
"428","non-legal",0
"432","legal",0
"432","non-legal",0
"439","legal",0
"439","non-legal",0
"44","legal",3
"44","non-legal",4
"442","legal",0
"442","non-legal",0
"443","legal",1
"443","non-legal",0
"448","legal",0
"448","non-legal",0
"45","legal",0
"45","non-legal",0
"451","legal",0
"451","non-legal",0
"455","legal",5
"455","non-legal",0
"458","legal",0
"458","non-legal",0
"46","legal",0
"46","non-legal",0
"463","legal",0
"463","non-legal",1
"47","legal",0
"47","non-legal",0
"474","legal",0
"474","non-legal",0
"48","legal",0
"48","non-legal",0
"480","legal",0
"480","non-legal",0
"49","legal",0
"49","non-legal",0
"490","legal",0
"490","non-legal",0
"492","legal",0
"492","non-legal",0
"496","legal",0
"496","non-legal",0
"499","legal",0
"499","non-legal",0
"5","legal",2
"5","non-legal",1
"50","legal",0
"50","non-legal",0
"503","legal",0
"503","non-legal",0
"506","legal",1
"506","non-legal",1
"51","legal",0
"51","non-legal",0
"512","legal",0
"512","non-legal",0
"52","legal",0
"52","non-legal",0
"523","legal",0
"523","non-legal",0
"527","legal",0
"527","non-legal",0
"528","legal",0
"528","non-legal",0
"53","legal",0
"53","non-legal",0
"538","legal",0
"538","non-legal",0
"54","legal",5
"54","non-legal",7
"543","legal",0
"543","non-legal",0
"544","legal",0
"544","non-legal",0
"55","legal",0
"55","non-legal",0
"551","legal",0
"551","non-legal",0
"554","legal",0
"554","non-legal",0
"56","legal",0
"56","non-legal",0
"560","legal",0
"560","non-legal",0
"567","legal",8
"567","non-legal",0
"570","legal",0
"570","non-legal",5
"572","legal",0
"572","non-legal",0
"579","legal",0
"579","non-legal",0
"58","legal",0
"58","non-legal",0
"583","legal",0
"583","non-legal",0
"586","legal",0
"586","non-legal",0
"587","legal",0
"587","non-legal",2
"592","legal",0
"592","non-legal",0
"599","legal",0
"599","non-legal",1
"6","legal",0
"6","non-legal",0
"60","legal",0
"60","non-legal",0
"602","legal",0
"602","non-legal",0
"608","legal",0
"608","non-legal",1
"61","legal",0
"61","non-legal",8
"611","legal",0
"611","non-legal",2
"615","legal",0
"615","non-legal",0
"618","legal",0
"618","non-legal",0
"62","legal",0
"62","non-legal",0
"623","legal",0
"623","non-legal",0
"624","legal",0
"624","non-legal",0
"63","legal",0
"63","non-legal",2
"631","legal",0
"631","non-legal",1
"633","legal",0
"633","non-legal",0
"634","legal",0
"634","non-legal",0
"635","legal",0
"635","non-legal",0
"64","legal",0
"64","non-legal",0
"640","legal",0
"640","non-legal",0
"647","legal",0
"647","non-legal",0
"65","legal",0
"65","non-legal",0
"650","legal",0
"650","non-legal",0
"655","legal",0
"655","non-legal",0
"656","legal",0
"656","non-legal",0
"666","legal",0
"666","non-legal",0
"67","legal",2
"67","non-legal",1
"672","legal",0
"672","non-legal",0
"679","legal",0
"679","non-legal",0
"68","legal",0
"68","non-legal",0
"682","legal",0
"682","non-legal",0
"684","legal",0
"684","non-legal",0
"688","legal",0
"688","non-legal",0
"69","legal",0
"69","non-legal",0
"694","legal",0
"694","non-legal",0
"698","legal",1
"698","non-legal",0
"7","legal",1
"7","non-legal",0
"70","legal",1
"70","non-legal",0
"704","legal",0
"704","non-legal",1
"71","legal",0
"71","non-legal",0
"711","legal",0
"711","non-legal",0
"714","legal",0
"714","non-legal",1
"719","legal",0
"719","non-legal",0
"72","legal",1
"72","non-legal",0
"720","legal",0
"720","non-legal",0
"73","legal",0
"73","non-legal",0
"735","legal",0
"735","non-legal",0
"736","legal",0
"736","non-legal",0
"746","legal",0
"746","non-legal",0
"748","legal",0
"748","non-legal",0
"75","legal",0
"75","non-legal",0
"752","legal",0
"752","non-legal",0
"755","legal",1
"755","non-legal",0
"759","legal",0
"759","non-legal",0
"76","legal",0
"76","non-legal",0
"762","legal",0
"762","non-legal",0
"764","legal",0
"764","non-legal",0
"77","legal",0
"77","non-legal",0
"779","legal",0
"779","non-legal",0
"78","legal",0
"78","non-legal",1
"782","legal",0
"782","non-legal",1
"783","legal",0
"783","non-legal",0
"784","legal",0
"784","non-legal",2
"79","legal",0
"79","non-legal",1
"791","legal",0
"791","non-legal",0
"794","legal",0
"794","non-legal",0
"80","legal",0
"80","non-legal",0
"800","legal",0
"800","non-legal",0
"807","legal",0
"807","non-legal",0
"81","legal",0
"81","non-legal",0
"810","legal",0
"810","non-legal",0
"816","legal",0
"816","non-legal",0
"82","legal",0
"82","non-legal",0
"823","legal",0
"823","non-legal",0
"826","legal",0
"826","non-legal",0
"828","legal",0
"828","non-legal",0
"83","legal",0
"83","non-legal",0
"832","legal",0
"832","non-legal",1
"839","legal",0
"839","non-legal",0
"84","legal",0
"84","non-legal",6
"842","legal",4
"842","non-legal",9
"843","legal",0
"843","non-legal",0
"848","legal",0
"848","non-legal",0
"855","legal",0
"855","non-legal",0
"858","legal",0
"858","non-legal",0
"86","legal",0
"86","non-legal",0
"864","legal",0
"864","non-legal",0
"87","legal",0
"87","non-legal",0
"879","legal",0
"879","non-legal",0
"88","legal",0
"88","non-legal",0
"880","legal",0
"880","non-legal",1
"89","legal",0
"89","non-legal",0
"9","legal",0
"9","non-legal",0
"90","legal",0
"90","non-legal",0
"91","legal",0
"91","non-legal",1
"92","legal",0
"92","non-legal",0
"93","legal",0
"93","non-legal",0
"95","legal",0
"95","non-legal",3
"96","legal",0
"96","non-legal",0
"97","legal",0
"97","non-legal",0
"98","legal",0
"98","non-legal",0
"99","legal",2
"99","non-legal",0
"GBR-BOB","legal",0
"GBR-BOB","non-legal",0
"GBR1-1","legal",0
"GBR1-1","non-legal",0
"GBR1-2","legal",0
"GBR1-2","non-legal",0
"GBR1-3","legal",0
"GBR1-3","non-legal",0
"GBR1-4","legal",0
"GBR1-4","non-legal",0
"GBR2-1","legal",0
"GBR2-1","non-legal",2
"GBR2-2","legal",0
"GBR2-2","non-legal",1
"GBR2-3","legal",0
"GBR2-3","non-legal",1
"GBR2-4","legal",0
"GBR2-4","non-legal",0
"GBR3-1","legal",0
"GBR3-1","non-legal",1
"GBR3-2","legal",0
"GBR3-2","non-legal",0
"GBR3-3","legal",0
"GBR3-3","non-legal",0
"GBR3-4","legal",0
"GBR3-4","non-legal",4
"GBR4-1","legal",0
"GBR4-1","non-legal",0
"GBR4-2","legal",0
"GBR4-2","non-legal",0
"GBR5-1","legal",0
"GBR5-1","non-legal",0
"GBR5-2","legal",0
"GBR5-2","non-legal",0
"GBR5-3","legal",0
"GBR5-3","non-legal",0
"RB1","legal",0
"RB1","non-legal",0
"RB2","legal",0
"RB2","non-legal",0
"RC1","legal",1
"RC1","non-legal",5
"RC2","legal",0
"RC2","non-legal",1
"RC3","legal",0
"RC3","non-legal",1
