"sample","legal","number"
"1","legal",1
"1","non-legal",0
"10","legal",0
"10","non-legal",0
"100","legal",1
"100","non-legal",1
"10000","legal",1
"10000","non-legal",0
"10001","legal",0
"10001","non-legal",0
"10002","legal",6
"10002","non-legal",0
"10003","legal",0
"10003","non-legal",0
"10004","legal",0
"10004","non-legal",0
"10005","legal",0
"10005","non-legal",0
"101","legal",2
"101","non-legal",2
"102","legal",0
"102","non-legal",0
"103","legal",1
"103","non-legal",0
"1038","legal",0
"1038","non-legal",0
"104","legal",0
"104","non-legal",0
"106","legal",0
"106","non-legal",0
"107","legal",3
"107","non-legal",1
"108","legal",0
"108","non-legal",0
"11","legal",0
"11","non-legal",0
"110","legal",0
"110","non-legal",0
"1108","legal",0
"1108","non-legal",0
"111","legal",0
"111","non-legal",0
"112","legal",2
"112","non-legal",0
"113","legal",1
"113","non-legal",0
"114","legal",0
"114","non-legal",0
"115","legal",0
"115","non-legal",0
"116","legal",0
"116","non-legal",0
"119","legal",0
"119","non-legal",2
"11R1","legal",0
"11R1","non-legal",0
"11R2","legal",0
"11R2","non-legal",0
"11R3","legal",0
"11R3","non-legal",0
"11R4","legal",0
"11R4","non-legal",0
"12","legal",0
"12","non-legal",0
"122","legal",0
"122","non-legal",0
"12RC1","legal",0
"12RC1","non-legal",0
"12RC2","legal",1
"12RC2","non-legal",6
"12RC3","legal",0
"12RC3","non-legal",2
"12RC5","legal",0
"12RC5","non-legal",0
"12RC6","legal",0
"12RC6","non-legal",0
"12RC7","legal",0
"12RC7","non-legal",0
"12RC8","legal",0
"12RC8","non-legal",0
"12RC9","legal",0
"12RC9","non-legal",1
"13","legal",0
"13","non-legal",0
"135","legal",0
"135","non-legal",0
"138","legal",0
"138","non-legal",1
"139","legal",0
"139","non-legal",0
"13RC1","legal",0
"13RC1","non-legal",0
"13RC11","legal",0
"13RC11","non-legal",0
"13RC12","legal",0
"13RC12","non-legal",0
"13RC13","legal",1
"13RC13","non-legal",0
"13RC15","legal",0
"13RC15","non-legal",1
"13RC2","legal",0
"13RC2","non-legal",1
"13RC3","legal",0
"13RC3","non-legal",1
"13RC4","legal",0
"13RC4","non-legal",0
"13RC5","legal",0
"13RC5","non-legal",0
"13RC6","legal",0
"13RC6","non-legal",1
"13RC7","legal",0
"13RC7","non-legal",0
"13RC8","legal",0
"13RC8","non-legal",0
"13RC9","legal",1
"13RC9","non-legal",0
"14","legal",0
"14","non-legal",1
"143","legal",0
"143","non-legal",2
"144","legal",0
"144","non-legal",0
"15","legal",0
"15","non-legal",0
"151","legal",0
"151","non-legal",0
"154","legal",0
"154","non-legal",0
"16","legal",0
"16","non-legal",0
"160","legal",0
"160","non-legal",0
"167","legal",0
"167","non-legal",1
"17","legal",0
"17","non-legal",2
"170","legal",0
"170","non-legal",0
"175","legal",0
"175","non-legal",0
"176","legal",0
"176","non-legal",0
"18","legal",0
"18","non-legal",0
"183","legal",0
"183","non-legal",0
"19","legal",3
"19","non-legal",4
"192","legal",0
"192","non-legal",0
"196","legal",0
"196","non-legal",0
"199","legal",0
"199","non-legal",2
"2","legal",0
"2","non-legal",0
"20","legal",3
"20","non-legal",1
"202","legal",0
"202","non-legal",0
"207","legal",0
"207","non-legal",0
"208","legal",0
"208","non-legal",0
"21","legal",1
"21","non-legal",0
"215","legal",0
"215","non-legal",0
"218","legal",0
"218","non-legal",0
"22","legal",1
"22","non-legal",1
"224","legal",0
"224","non-legal",0
"23","legal",0
"23","non-legal",0
"234","legal",0
"234","non-legal",0
"236","legal",0
"236","non-legal",0
"24","legal",0
"24","non-legal",0
"240","legal",0
"240","non-legal",0
"247","legal",0
"247","non-legal",0
"25","legal",0
"25","non-legal",0
"250","legal",0
"250","non-legal",0
"256","legal",1
"256","non-legal",1
"26","legal",0
"26","non-legal",0
"267","legal",1
"267","non-legal",1
"27","legal",0
"27","non-legal",0
"270","legal",0
