Sample,Status,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker
42,National Park Zone,Logan,13.07.20,Brooke Gibbons
44,Special Purpose Zone (Mining Exclusion),Hayley,17.07.20,Logan Penman
45,Special Purpose Zone (Mining Exclusion),Hayley,17.07.20,Logan Penman
47,Multiple Use Zone,Hayley ,17.07.20,Logan Penman
48,Special Purpose Zone (Mining Exclusion),Hayley,17.07.20,Logan Penman
49,Special Purpose Zone (Mining Exclusion),Hayley,17.07.20,Logan Penman
53,Special Purpose Zone (Mining Exclusion),Hayley,19.07.20,Logan Penman
54,Multiple Use Zone,Hayley ,19.07.20,Logan Penman
55,Multiple Use Zone,Hayley,19.07.20,Logan Penman
58,National Park Zone,Hayley,19.07.20,Logan Penman
60,Special Purpose Zone (Mining Exclusion),Hayley ,20.07.20,Logan Penman
61,Multiple Use Zone,Hayley,20.07.20,Logan Penman
62,Special Purpose Zone (Mining Exclusion),Hayley,21.07.20,Logan Penman
63,Multiple Use Zone,Hayley,21.07.20,Logan Penman
64,Special Purpose Zone (Mining Exclusion),Hayley,21.07.20,Logan Penman
65,Special Purpose Zone (Mining Exclusion),Hayley,21.07.20,Logan Penman
67,Special Purpose Zone (Mining Exclusion),Hayley,22.07.20 ,Logan Penman
69,Special Purpose Zone (Mining Exclusion),Hayley,23.07.20,Logan Penman
70,Special Purpose Zone (Mining Exclusion),Hayley,23.07.20,Logan Penman
71,Special Purpose Zone (Mining Exclusion),Logan,19.08.20,Brooke Gibbons
72,Special Purpose Zone (Mining Exclusion),Hayley ,23.07.20,Logan Penman
73,Special Purpose Zone (Mining Exclusion),Hayley,23.07.20,Logan Penman
75,Multiple Use Zone,Hayley,27.07.20,Logan Penman
76,Special Purpose Zone (Mining Exclusion),Hayley,27.07.20,Logan Penman
77,Special Purpose Zone (Mining Exclusion),Hayley,27.07.20,Logan Penman
78,Multiple Use Zone,Logan,13.07.20,Brooke Gibbons
79,Habitat Protection Zone,Hayley,27.07.20,Logan Penman
