Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment
298,-33.5825167,115.1301333,20141215,06:56:00,Geographe.Bay,Fished,NA,18.1,Lauren,Yes,Yes,NA
304,-33.5958333,115.1453667,20141215,10:17:00,Geographe.Bay,Fished,NA,13.7,Lizzy,Yes,Yes,NA
314,-33.5869,115.1628333,20141215,09:03:00,Geographe.Bay,Fished,NA,20,Lizzy,Yes,Yes,NA
316,-33.3839667,115.5281667,20141214,10:49:00,Geographe.Bay,Fished,NA,9.3,Lauren,Yes,Yes,NA
320,-33.4417833,115.49575,20141216,08:49:00,Geographe.Bay,Fished,NA,15.1,Lauren,Yes,Yes,NA
327,-33.4892333,115.3942,20141214,14:10:00,Geographe.Bay,Fished,NA,11.8,Damon,Yes,Yes,NA
330,-33.5691167,115.104,20141215,06:44:00,Geographe.Bay,Fished,NA,17.7,Damon,Yes,Yes,NA
331,-33.6030833,115.2530333,20141215,13:46:00,Geographe.Bay,Fished,NA,14.3,Lizzy,Yes,Yes,NA
335,-33.5771167,115.2266667,20141212,08:09:00,Geographe.Bay,Fished,NA,21.6,Lauren,Yes,Yes,NA
346,-33.6092,115.2392833,20141215,13:08:00,Geographe.Bay,Fished,NA,14,Lizzy,Yes,Yes,NA
352,-33.4517667,115.4879833,20141216,08:45:00,Geographe.Bay,Fished,NA,15.2,Lizzy,Yes,Yes,NA
362,-33.627,115.2948,20141217,10:23:00,Geographe.Bay,Fished,NA,9.4,Laura,Yes,Yes,NA
368,-33.5725167,115.45125,20141216,15:59:00,Geographe.Bay,Fished,NA,3.7,Laura,Yes,Yes,NA
375,-33.5902167,115.2205667,20141212,06:14:00,Geographe.Bay,Fished,NA,26.9,Laura,Yes,Yes,NA
378,-33.5555833,115.3912,20141212,13:08:00,Geographe.Bay,Fished,NA,13.3,Lauren,Yes,Yes,NA
384,-33.4274667,115.51415,20141216,06:54:00,Geographe.Bay,Fished,NA,13.5,Lauren,Yes,Yes,NA
391,-33.50165,115.4101333,20141213,08:23:00,Geographe.Bay,Fished,NA,17,Lizzy,Yes,Yes,NA
394,-33.5181,115.3820167,20141216,13:18:00,Geographe.Bay,Fished,NA,19,Lizzy,Yes,Yes,NA
395,-33.6072833,115.3444333,20141217,10:08:00,Geographe.Bay,Fished,NA,9.2,Laura,Yes,Yes,NA
399,-33.6143333,115.31295,20141217,10:17:00,Geographe.Bay,Fished,NA,10.8,Laura,Yes,Yes,NA
400,-33.3575833,115.5516833,20141214,08:58:00,Geographe.Bay,Fished,NA,9.8,Damon,Yes,Yes,NA
407,-33.4881667,115.4274667,20141213,08:13:00,Geographe.Bay,Fished,NA,16.2,Lauren,Yes,Yes,NA
416,-33.6147833,115.2806167,20141217,10:34:00,Geographe.Bay,Fished,NA,12.3,Laura,Yes,Yes,NA
428,-33.45045,115.5572167,20141216,06:31:00,Geographe.Bay,Fished,NA,7.6,Lauren,Yes,Yes,NA
432,-33.4270333,115.4686,20141214,13:19:00,Geographe.Bay,Fished,NA,10.7,Lauren,Yes,Yes,NA
439,-33.6309333,115.2730667,20141217,10:29:00,Geographe.Bay,Fished,NA,8.4,Laura,Yes,Yes,NA
442,-33.5066,115.41935,20141212,13:28:00,Geographe.Bay,Fished,NA,14.3,Lizzy,Yes,Yes,NA
443,-33.5698,115.2024833,20141212,06:34:00,Geographe.Bay,Fished,NA,27,Laura,Yes,Yes,NA
448,-33.3965,115.4930667,20141214,13:05:00,Geographe.Bay,Fished,NA,10.6,Lizzy,Yes,Yes,NA
451,-33.41975,115.5529,20141214,11:32:00,Geographe.Bay,Fished,NA,7.8,Lauren,Yes,Yes,NA
455,-33.5671333,115.1820333,20141215,08:42:00,Geographe.Bay,Fished,NA,24.9,Lizzy,Yes,Yes,NA
458,-33.51505,115.50435,20141216,10:58:00,Geographe.Bay,Fished,NA,6.2,Lizzy,Yes,Yes,NA
463,-33.51505,115.50435,20141212,08:03:00,Geographe.Bay,Fished,NA,24.3,Lizzy,Yes,Yes,NA
474,-33.4681167,115.5436,20141216,06:23:00,Geographe.Bay,Fished,NA,6.8,Laura,Yes,Yes,NA
480,-33.3475833,115.5777,20141214,09:06:00,Geographe.Bay,Fished,NA,7.4,Laura,Yes,Yes,NA
490,-33.5613,115.3612,20141217,06:20:00,Geographe.Bay,Fished,NA,13.4,Lizzy,Yes,Yes,NA
492,-33.4637833,115.4974833,20141216,08:40:00,Geographe.Bay,Fished,NA,14.7,Laura,Yes,Yes,NA
496,-33.4851167,115.4752333,20141216,10:42:00,Geographe.Bay,Fished,NA,15.3,Lauren,Yes,Yes,NA
499,-33.45165,115.5441167,20141216,06:36:00,Geographe.Bay,Fished,NA,9.9,Lauren,Yes,Yes,NA
503,-33.5845333,115.3097667,20141217,07:48:00,Geographe.Bay,Fished,NA,16.3,Lizzy,Yes,Yes,NA
506,-33.5173833,115.4165,20141216,11:23:00,Geographe.Bay,Fished,NA,14.1,Lizzy,Yes,Yes,NA
512,-33.5094,115.4873333,20141216,11:03:00,Geographe.Bay,Fished,NA,10.6,Lizzy,Yes,Yes,NA
523,-33.5634333,115.1589167,20141215,08:35:00,Geographe.Bay,Fished,NA,26,Laura,Yes,Yes,NA
