"sample","scientific","maxn","family","genus","species","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment","id"
"111","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5369,115.3219167,20141212,10:55:00,"Geographe.Bay","Fished","NA",21.9,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.111"
"112","Sparidae Chrysophrys auratus",2,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4052,115.5224,20141211,12:35:00,"Geographe.Bay","Fished","NA",14.8,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.112"
"113","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.3658333,115.27785,20141210,13:45:00,"Geographe.Bay","Fished","NA",36.6,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.113"
"114","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.3984333,115.1639167,20141210,10:20:00,"Geographe.Bay","Fished","NA",39.7,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.114"
"115","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4446333,115.4064667,20141213,10:46:00,"Geographe.Bay","Fished","NA",25.2,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.115"
"116","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4981667,115.2863667,20141209,06:20:00,"Geographe.Bay","Fished","NA",29.7,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.116"
"119","Sparidae Chrysophrys auratus",2,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4388333,115.5567333,20141214,11:25:00,"Geographe.Bay","Fished","NA",5.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.119"
"11R1","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.35885,115.3694,20141211,09:09:00,"Geographe.Bay","Fished","NA",30.4,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.11R1"
"11R2","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.3967333,115.5076167,20141211,12:26:00,"Geographe.Bay","Fished","NA",18.6,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.11R2"
"11R3","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.41215,115.5204667,20141211,12:40:00,"Geographe.Bay","Fished","NA",14.7,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.11R3"
"11R4","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4197,115.51755,20141211,12:48:00,"Geographe.Bay","Fished","NA",14.5,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.11R4"
"12","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.40395,115.2615667,20141210,14:00:00,"Geographe.Bay","Fished","NA",38.7,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12"
"122","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5375,115.4020833,20141213,05:48:00,"Geographe.Bay","Fished","NA",13.3,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.122"
"12RC1","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5932167,115.2132833,20141212,06:09:00,"Geographe.Bay","Fished","NA",26.5,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC1"
"12RC2","Sparidae Chrysophrys auratus",7,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5916,115.23785,20141212,08:23:00,"Geographe.Bay","Fished","NA",17.6,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC2"
"12RC3","Sparidae Chrysophrys auratus",2,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5914667,115.24145,20141212,08:32:00,"Geographe.Bay","Fished","NA",17.9,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC3"
"12RC5","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5621333,115.3443,20141212,11:16:00,"Geographe.Bay","Fished","NA",14.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC5"
"12RC6","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5711,115.3481333,20141212,11:22:00,"Geographe.Bay","Fished","NA",14.7,"laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC6"
"12RC7","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5118,115.41785,20141212,13:38:00,"Geographe.Bay","Fished","NA",15.2,"laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC7"
"12RC8","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5148667,115.41815,20141212,13:41:00,"Geographe.Bay","Fished","NA",14.1,"laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC8"
"12RC9","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5162167,115.4064167,20141212,13:48:00,"Geographe.Bay","Fished","NA",14.5,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC9"
"13","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4501833,115.0925167,20141209,13:41:00,"Geographe.Bay","Fished","NA",42.4,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13"
"135","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.50185,115.4207333,20141216,12:54:00,"Geographe.Bay","Fished","NA",15.8,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.135"
"138","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5808333,115.1139333,20141215,06:50:00,"Geographe.Bay","Fished","NA",15,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.138"
"139","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.60325,115.2736667,20141217,08:29:00,"Geographe.Bay","Fished","NA",13.4,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.139"
"13RC1","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5059833,115.43075,20141213,06:11:00,"Geographe.Bay","Fished","NA",13.8,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC1"
"13RC11","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.3740333,115.36925,20141213,13:23:00,"Geographe.Bay","Fished","NA",31,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC11"
"13RC12","Sparidae Chrysophrys auratus",2,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.3743667,115.3668167,20141213,13:25:00,"Geographe.Bay","Fished","NA",31.3,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC12"
"13RC13","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.3754833,115.3631167,20141213,13:31:00,"Geographe.Bay","Fished","NA",31.1,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC13"
"13RC15","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.3768333,115.3559333,20141213,13:39:00,"Geographe.Bay","Fished","NA",32.5,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC15"
"13RC2","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.49485,115.45595,20141213,06:27:00,"Geographe.Bay","Fished","NA",13.4,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC2"
"13RC3","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4839333,115.45155,20141213,08:00:00,"Geographe.Bay","Fished","NA",13.6,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC3"
"13RC4","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4993833,115.3964667,20141213,08:30:00,"Geographe.Bay","Fished","NA",19.5,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC4"
"13RC5","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4839333,115.4656167,20141213,10:05:00,"Geographe.Bay","Fished","NA",26.8,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC5"
"13RC6","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.3809667,115.3892333,20141213,13:07:00,"Geographe.Bay","Fished","NA",29.7,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC6"
"13RC7","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.3774333,115.38605,20141213,13:10:00,"Geographe.Bay","Fished","NA",29.5,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC7"
"13RC8","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.3726,115.3791,20141213,13:14:00,"Geographe.Bay","Fished","NA",30.4,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC8"
"13RC9","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.3730667,115.3747833,20141213,13:18:00,"Geographe.Bay","Fished","NA",30.9,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC9"
"14","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5296667,115.4130333,20141213,05:56:00,"Geographe.Bay","Fished","NA",13.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.14"
