"campaignid","sample","family","genus","species","maxn"
"2014-12_Geographe.Bay_stereoBRUVs","102","Myliobatidae","Myliobatis","tenuicaudatus",1
"2014-12_Geographe.Bay_stereoBRUVs","102","Oplegnathidae","Oplegnathus","woodwardi",1
"2014-12_Geographe.Bay_stereoBRUVs","102","Pinguipedidae","Parapercis","ramsayi",1
"2014-12_Geographe.Bay_stereoBRUVs","102","Platycephalidae","Platycephalus","spp",4
"2014-12_Geographe.Bay_stereoBRUVs","102","Rhinobatidae","Aptychotrema","vincentiana",1
"2014-12_Geographe.Bay_stereoBRUVs","102","Scorpididae","Tilodon","sexfasciatus",1
"2014-12_Geographe.Bay_stereoBRUVs","102","Sillaginidae","Sillago","spp",4
"2014-12_Geographe.Bay_stereoBRUVs","102","Trygonorrhinidae","Trygonorrhina","dumerilii",3
"2014-12_Geographe.Bay_stereoBRUVs","103","Carangidae","Pseudocaranx","spp",8
"2014-12_Geographe.Bay_stereoBRUVs","103","Gerreidae","Parequula","melbournensis",36
"2014-12_Geographe.Bay_stereoBRUVs","103","Glaucosomatidae","Glaucosoma","hebraicum",1
"2014-12_Geographe.Bay_stereoBRUVs","103","Labridae","Austrolabrus","maculatus",1
"2014-12_Geographe.Bay_stereoBRUVs","103","Labridae","Coris","auricularis",23
"2014-12_Geographe.Bay_stereoBRUVs","103","Labridae","Notolabrus","parilus",1
"2014-12_Geographe.Bay_stereoBRUVs","103","Labridae","Ophthalmolepis","lineolatus",2
"2014-12_Geographe.Bay_stereoBRUVs","103","Monacanthidae","Acanthaluteres","vittiger",1
"2014-12_Geographe.Bay_stereoBRUVs","103","Monacanthidae","Scobinichthys","granulatus",2
"2014-12_Geographe.Bay_stereoBRUVs","103","Mullidae","Upeneichthys","vlamingii",1
"2014-12_Geographe.Bay_stereoBRUVs","103","Odacidae","Heteroscarus","acroptilus",1
"2014-12_Geographe.Bay_stereoBRUVs","103","Pempherididae","Pempheris","klunzingeri",66
"2014-12_Geographe.Bay_stereoBRUVs","103","Scorpididae","Neatypus","obliquus",5
"2014-12_Geographe.Bay_stereoBRUVs","103","Sillaginidae","Sillaginodes","punctatus",1
"2014-12_Geographe.Bay_stereoBRUVs","103","Sparidae","Chrysophrys","auratus",1
"2014-12_Geographe.Bay_stereoBRUVs","103","Trygonorrhinidae","Trygonorrhina","dumerilii",1
"2014-12_Geographe.Bay_stereoBRUVs","106","Gerreidae","Parequula","melbournensis",1
"2014-12_Geographe.Bay_stereoBRUVs","106","Labridae","Coris","auricularis",5
"2014-12_Geographe.Bay_stereoBRUVs","106","Labridae","Eupetrichthys","angustipes",1
"2014-12_Geographe.Bay_stereoBRUVs","106","Labridae","Halichoeres","brownfieldi",1
"2014-12_Geographe.Bay_stereoBRUVs","106","Labridae","Notolabrus","parilus",2
"2014-12_Geographe.Bay_stereoBRUVs","106","Labridae","Ophthalmolepis","lineolatus",7
"2014-12_Geographe.Bay_stereoBRUVs","106","Monacanthidae","Scobinichthys","granulatus",2
"2014-12_Geographe.Bay_stereoBRUVs","106","Mullidae","Upeneichthys","vlamingii",1
"2014-12_Geographe.Bay_stereoBRUVs","106","Trygonorrhinidae","Trygonorrhina","dumerilii",2
"2014-12_Geographe.Bay_stereoBRUVs","107","Gerreidae","Parequula","melbournensis",21
"2014-12_Geographe.Bay_stereoBRUVs","107","Heterodontidae","Heterodontus","portusjacksoni",1
"2014-12_Geographe.Bay_stereoBRUVs","107","Labridae","Austrolabrus","maculatus",2
"2014-12_Geographe.Bay_stereoBRUVs","107","Labridae","Coris","auricularis",18
"2014-12_Geographe.Bay_stereoBRUVs","107","Labridae","Eupetrichthys","angustipes",1
"2014-12_Geographe.Bay_stereoBRUVs","107","Mullidae","Upeneichthys","vlamingii",2
"2014-12_Geographe.Bay_stereoBRUVs","107","Myliobatidae","Myliobatis","tenuicaudatus",1
"2014-12_Geographe.Bay_stereoBRUVs","107","Neosebastidae","Neosebastes","pandus",1
"2014-12_Geographe.Bay_stereoBRUVs","107","Sparidae","Chrysophrys","auratus",4
"2014-12_Geographe.Bay_stereoBRUVs","107","Trygonorrhinidae","Trygonorrhina","dumerilii",2
"2014-12_Geographe.Bay_stereoBRUVs","108","Carangidae","Pseudocaranx","spp",96
"2014-12_Geographe.Bay_stereoBRUVs","108","Carangidae","Trachurus","novaezelandiae",1
"2014-12_Geographe.Bay_stereoBRUVs","108","Dasyatidae","Bathytoshia","brevicaudata",1
"2014-12_Geographe.Bay_stereoBRUVs","108","Aracanidae","Anoplocapros","amygdaloides",1
"2014-12_Geographe.Bay_stereoBRUVs","108","Platycephalidae","Platycephalus","spp",6
"2014-12_Geographe.Bay_stereoBRUVs","108","Sillaginidae","Sillago","spp",1
"2014-12_Geographe.Bay_stereoBRUVs","108","Trygonorrhinidae","Trygonorrhina","dumerilii",2
"2014-12_Geographe.Bay_stereoBRUVs","11","Carangidae","Pseudocaranx","spp",2
"2014-12_Geographe.Bay_stereoBRUVs","11","Gerreidae","Parequula","melbournensis",3
"2014-12_Geographe.Bay_stereoBRUVs","11","Labridae","Austrolabrus","maculatus",1
"2014-12_Geographe.Bay_stereoBRUVs","11","Labridae","Coris","auricularis",4
"2014-12_Geographe.Bay_stereoBRUVs","11","Labridae","Eupetrichthys","angustipes",1
"2014-12_Geographe.Bay_stereoBRUVs","11","Labridae","Notolabrus","parilus",2
"2014-12_Geographe.Bay_stereoBRUVs","11","Labridae","Ophthalmolepis","lineolatus",1
"2014-12_Geographe.Bay_stereoBRUVs","11","Monacanthidae","Scobinichthys","granulatus",1
"2014-12_Geographe.Bay_stereoBRUVs","11","Mullidae","Upeneichthys","vlamingii",1
"2014-12_Geographe.Bay_stereoBRUVs","11","Neosebastidae","Neosebastes","pandus",1
"2014-12_Geographe.Bay_stereoBRUVs","11","Aracanidae","Anoplocapros","amygdaloides",1
"2014-12_Geographe.Bay_stereoBRUVs","11","Ostraciidae","Aracana","aurita",1
"2014-12_Geographe.Bay_stereoBRUVs","11","Pinguipedidae","Parapercis","ramsayi",1
"2014-12_Geographe.Bay_stereoBRUVs","11","Serranidae","Hypoplectrodes","nigroruber",1
"2014-12_Geographe.Bay_stereoBRUVs","11","Triakidae","Galeorhinus","galeus",1
"2014-12_Geographe.Bay_stereoBRUVs","11","Trygonorrhinidae","Trygonorrhina","dumerilii",2
"2014-12_Geographe.Bay_stereoBRUVs","111","Carangidae","Pseudocaranx","spp",20
"2014-12_Geographe.Bay_stereoBRUVs","111","Gerreidae","Parequula","melbournensis",7
"2014-12_Geographe.Bay_stereoBRUVs","111","Labridae","Coris","auricularis",3
"2014-12_Geographe.Bay_stereoBRUVs","111","Labridae","Halichoeres","brownfieldi",1
"2014-12_Geographe.Bay_stereoBRUVs","111","Labridae","Notolabrus","parilus",1
"2014-12_Geographe.Bay_stereoBRUVs","111","Monacanthidae","Acanthaluteres","vittiger",1
"2014-12_Geographe.Bay_stereoBRUVs","111","Monacanthidae","Meuschenia","freycineti",1
"2014-12_Geographe.Bay_stereoBRUVs","111","Monacanthidae","Scobinichthys","granulatus",1
"2014-12_Geographe.Bay_stereoBRUVs","111","Myliobatidae","Myliobatis","tenuicaudatus",1
"2014-12_Geographe.Bay_stereoBRUVs","111","Aracanidae","Anoplocapros","amygdaloides",1
"2014-12_Geographe.Bay_stereoBRUVs","111","Pempherididae","Pempheris","klunzingeri",4
"2014-12_Geographe.Bay_stereoBRUVs","111","Trygonorrhinidae","Trygonorrhina","dumerilii",1
"2014-12_Geographe.Bay_stereoBRUVs","112","Carangidae","Seriola","hippos",1
"2014-12_Geographe.Bay_stereoBRUVs","112","Gerreidae","Parequula","melbournensis",13
"2014-12_Geographe.Bay_stereoBRUVs","112","Labridae","Coris","auricularis",1
"2014-12_Geographe.Bay_stereoBRUVs","112","Labridae","Eupetrichthys","angustipes",1
"2014-12_Geographe.Bay_stereoBRUVs","112","Labridae","Halichoeres","brownfieldi",2
"2014-12_Geographe.Bay_stereoBRUVs","112","Labridae","Notolabrus","parilus",1
"2014-12_Geographe.Bay_stereoBRUVs","112","Labridae","Ophthalmolepis","lineolatus",3
"2014-12_Geographe.Bay_stereoBRUVs","112","Monacanthidae","Scobinichthys","granulatus",1
"2014-12_Geographe.Bay_stereoBRUVs","112","Myliobatidae","Myliobatis","tenuicaudatus",1
"2014-12_Geographe.Bay_stereoBRUVs","112","Sparidae","Chrysophrys","auratus",2
"2014-12_Geographe.Bay_stereoBRUVs","112","Trygonorrhinidae","Trygonorrhina","dumerilii",1
"2014-12_Geographe.Bay_stereoBRUVs","112","Urolophidae","Trygonoptera","ovalis",1
"2014-12_Geographe.Bay_stereoBRUVs","115","Carangidae","Pseudocaranx","spp",18
"2014-12_Geographe.Bay_stereoBRUVs","115","Gerreidae","Parequula","melbournensis",6
"2014-12_Geographe.Bay_stereoBRUVs","115","Myliobatidae","Myliobatis","tenuicaudatus",1
"2014-12_Geographe.Bay_stereoBRUVs","115","Neosebastidae","Neosebastes","pandus",2
"2014-12_Geographe.Bay_stereoBRUVs","115","Aracanidae","Anoplocapros","amygdaloides",1
"2014-12_Geographe.Bay_stereoBRUVs","115","Ostraciidae","Aracana","aurita",1
"2014-12_Geographe.Bay_stereoBRUVs","115","Platycephalidae","Platycephalus","spp",5
"2014-12_Geographe.Bay_stereoBRUVs","115","Sillaginidae","Sillago","spp",1
"2014-12_Geographe.Bay_stereoBRUVs","115","Trygonorrhinidae","Trygonorrhina","dumerilii",2
"2014-12_Geographe.Bay_stereoBRUVs","116","Gerreidae","Parequula","melbournensis",13
"2014-12_Geographe.Bay_stereoBRUVs","116","Labridae","Coris","auricularis",4
"2014-12_Geographe.Bay_stereoBRUVs","116","Monacanthidae","Acanthaluteres","vittiger",2
"2014-12_Geographe.Bay_stereoBRUVs","116","Mullidae","Upeneichthys","sp1",1
"2014-12_Geographe.Bay_stereoBRUVs","116","Mullidae","Upeneichthys","vlamingii",2
"2014-12_Geographe.Bay_stereoBRUVs","116","Myliobatidae","Myliobatis","tenuicaudatus",1
"2014-12_Geographe.Bay_stereoBRUVs","116","Aracanidae","Anoplocapros","amygdaloides",1
"2014-12_Geographe.Bay_stereoBRUVs","116","Platycephalidae","Platycephalus","spp",5
"2014-12_Geographe.Bay_stereoBRUVs","116","Urolophidae","Trygonoptera","ovalis",1
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Carangidae","Pseudocaranx","spp",2
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Carangidae","Trachurus","novaezelandiae",2
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Gerreidae","Parequula","melbournensis",45
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Labridae","Halichoeres","brownfieldi",1
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Labridae","Ophthalmolepis","lineolatus",5
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Monacanthidae","Acanthaluteres","vittiger",2
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Mullidae","Upeneichthys","vlamingii",1
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Nemipteridae","Pentapodus","vitta",1
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Trygonorrhinidae","Trygonorrhina","dumerilii",2
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Carangidae","Pseudocaranx","spp",1
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Gerreidae","Parequula","melbournensis",3
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Labridae","Austrolabrus","maculatus",2
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Labridae","Eupetrichthys","angustipes",1
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Labridae","Halichoeres","brownfieldi",1
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Labridae","Notolabrus","parilus",1
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Labridae","Ophthalmolepis","lineolatus",4
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Monacanthidae","Scobinichthys","granulatus",1
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Mullidae","Upeneichthys","vlamingii",1
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Carangidae","Seriola","hippos",2
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Chaetodontidae","Chelmonops","curiosus",1
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Labridae","Austrolabrus","maculatus",4
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Labridae","Bodianus","frenchii",1
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Labridae","Choerodon","rubescens",1
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Labridae","Coris","auricularis",2
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Labridae","Notolabrus","parilus",3
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Labridae","Ophthalmolepis","lineolatus",5
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Monacanthidae","Acanthaluteres","brownii",1
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Monacanthidae","Acanthaluteres","vittiger",1
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Monacanthidae","Eubalichthys","mosaicus",1
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Monacanthidae","Meuschenia","flavolineata",3
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Monacanthidae","Meuschenia","galii",2
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Monacanthidae","Scobinichthys","granulatus",1
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Mullidae","Upeneichthys","vlamingii",2
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Myliobatidae","Myliobatis","tenuicaudatus",1
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Neosebastidae","Neosebastes","pandus",1
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Pempherididae","Pempheris","klunzingeri",57
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Pomacentridae","Chromis","klunzingeri",13
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Pomacentridae","Parma","mccullochi",1
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Scorpididae","Neatypus","obliquus",1
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Urolophidae","Trygonoptera","ovalis",1
"2014-12_Geographe.Bay_stereoBRUVs","12","Gerreidae","Parequula","melbournensis",4
"2014-12_Geographe.Bay_stereoBRUVs","12","Myliobatidae","Myliobatis","tenuicaudatus",1
"2014-12_Geographe.Bay_stereoBRUVs","12","Aracanidae","Anoplocapros","amygdaloides",1
"2014-12_Geographe.Bay_stereoBRUVs","12","Platycephalidae","Platycephalus","spp",6
"2014-12_Geographe.Bay_stereoBRUVs","12","Trygonorrhinidae","Trygonorrhina","dumerilii",2
"2014-12_Geographe.Bay_stereoBRUVs","12","Urolophidae","Trygonoptera","ovalis",1
"2014-12_Geographe.Bay_stereoBRUVs","122","Carangidae","Pseudocaranx","spp",5
"2014-12_Geographe.Bay_stereoBRUVs","122","Diodontidae","Diodon","nicthemerus",1
"2014-12_Geographe.Bay_stereoBRUVs","122","Gerreidae","Parequula","melbournensis",45
"2014-12_Geographe.Bay_stereoBRUVs","122","Labridae","Coris","auricularis",1
"2014-12_Geographe.Bay_stereoBRUVs","122","Labridae","Notolabrus","parilus",1
"2014-12_Geographe.Bay_stereoBRUVs","122","Labridae","Ophthalmolepis","lineolatus",2
"2014-12_Geographe.Bay_stereoBRUVs","122","Labridae","Pseudolabrus","biserialis",1
"2014-12_Geographe.Bay_stereoBRUVs","122","Monacanthidae","Scobinichthys","granulatus",1
"2014-12_Geographe.Bay_stereoBRUVs","122","Mullidae","Upeneichthys","vlamingii",1
"2014-12_Geographe.Bay_stereoBRUVs","122","Ostraciidae","Aracana","aurita",1
"2014-12_Geographe.Bay_stereoBRUVs","122","Urolophidae","Trygonoptera","ovalis",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Carangidae","Pseudocaranx","spp",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Carangidae","Seriola","hippos",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Chaetodontidae","Chelmonops","curiosus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Diodontidae","Diodon","nicthemerus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Glaucosomatidae","Glaucosoma","hebraicum",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Heterodontidae","Heterodontus","portusjacksoni",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Kyphosidae","Kyphosus","sydneyanus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Labridae","Austrolabrus","maculatus",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Labridae","Bodianus","frenchii",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Labridae","Coris","auricularis",27
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Labridae","Notolabrus","parilus",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Labridae","Ophthalmolepis","lineolatus",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Labridae","Pseudolabrus","biserialis",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Monacanthidae","Meuschenia","flavolineata",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Monacanthidae","Meuschenia","freycineti",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Monacanthidae","Meuschenia","galii",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Neosebastidae","Neosebastes","pandus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Pempherididae","Pempheris","klunzingeri",15
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Pomacentridae","Parma","victoriae",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Scorpididae","Neatypus","obliquus",3
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Serranidae","Epinephelides","armatus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Apogonidae","Siphamia","cephalotes",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Carangidae","Pseudocaranx","spp",79
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Chaetodontidae","Chelmonops","curiosus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Gerreidae","Parequula","melbournensis",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Heterodontidae","Heterodontus","portusjacksoni",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Labridae","Austrolabrus","maculatus",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Labridae","Choerodon","rubescens",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Labridae","Coris","auricularis",28
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Labridae","Eupetrichthys","angustipes",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Labridae","Halichoeres","brownfieldi",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Labridae","Notolabrus","parilus",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Labridae","Ophthalmolepis","lineolatus",4
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Labridae","Pseudolabrus","biserialis",4
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Monacanthidae","Meuschenia","freycineti",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Monacanthidae","Meuschenia","galii",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Monacanthidae","Meuschenia","hippocrepis",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Monacanthidae","Scobinichthys","granulatus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Myliobatidae","Myliobatis","tenuicaudatus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Sillaginidae","Sillaginodes","punctatus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Triakidae","Mustelus","antarcticus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Apogonidae","Ostorhinchus","victoriae",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Chaetodontidae","Chelmonops","curiosus",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Cheilodactylidae","Nemadactylus","valenciennesi",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Dasyatidae","Bathytoshia","brevicaudata",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Glaucosomatidae","Glaucosoma","hebraicum",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Heterodontidae","Heterodontus","portusjacksoni",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Labridae","Achoerodus","gouldii",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Labridae","Austrolabrus","maculatus",6
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Labridae","Bodianus","frenchii",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Labridae","Coris","auricularis",46
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Labridae","Notolabrus","parilus",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Labridae","Ophthalmolepis","lineolatus",8
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Labridae","Pseudolabrus","biserialis",3
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Monacanthidae","Meuschenia","galii",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Monacanthidae","Meuschenia","hippocrepis",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Monacanthidae","Scobinichthys","granulatus",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Pempherididae","Pempheris","klunzingeri",20
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Plesiopidae","Paraplesiops","meleagris",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Pomacentridae","Chromis","klunzingeri",4
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Pomacentridae","Parma","victoriae",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Scorpididae","Neatypus","obliquus",4
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Sillaginidae","Sillaginodes","punctatus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Trygonorrhinidae","Trygonorrhina","dumerilii",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Chaetodontidae","Chelmonops","curiosus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Cheilodactylidae","Nemadactylus","valenciennesi",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Glaucosomatidae","Glaucosoma","hebraicum",4
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Heterodontidae","Heterodontus","portusjacksoni",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Labridae","Austrolabrus","maculatus",3
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Labridae","Coris","auricularis",8
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Labridae","Notolabrus","parilus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Labridae","Ophthalmolepis","lineolatus",3
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Labridae","Pseudolabrus","biserialis",2
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Monacanthidae","Meuschenia","flavolineata",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Monacanthidae","Scobinichthys","granulatus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Neosebastidae","Neosebastes","pandus",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Pempherididae","Pempheris","klunzingeri",16
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Plesiopidae","Paraplesiops","meleagris",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Pomacentridae","Chromis","klunzingeri",1
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Scorpididae","Neatypus","obliquus",4
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Scorpididae","Tilodon","sexfasciatus",1
"2014-12_Geographe.Bay_stereoBRUVs","13","Labridae","Choerodon","rubescens",1
"2014-12_Geographe.Bay_stereoBRUVs","13","Labridae","Coris","auricularis",6
"2014-12_Geographe.Bay_stereoBRUVs","13","Myliobatidae","Myliobatis","tenuicaudatus",2
"2014-12_Geographe.Bay_stereoBRUVs","13","Neosebastidae","Neosebastes","pandus",2
"2014-12_Geographe.Bay_stereoBRUVs","13","Pinguipedidae","Parapercis","ramsayi",1
"2014-12_Geographe.Bay_stereoBRUVs","13","Platycephalidae","Platycephalus","spp",1
"2014-12_Geographe.Bay_stereoBRUVs","13","Serranidae","Epinephelides","armatus",1
"2014-12_Geographe.Bay_stereoBRUVs","135","Carangidae","Pseudocaranx","spp",3
