"campaignid","sample","family","genus","species","maxn"
"2014-12_Geographe.Bay_stereoBRUVs","1","Aracanidae","Anoplocapros","amygdaloides",1
"2014-12_Geographe.Bay_stereoBRUVs","1","Platycephalidae","Platycephalus","speculator",3
"2014-12_Geographe.Bay_stereoBRUVs","1","Sparidae","Chrysophrys","auratus",1
"2014-12_Geographe.Bay_stereoBRUVs","1","Urolophidae","Trygonoptera","personata",1
"2014-12_Geographe.Bay_stereoBRUVs","10","Gerreidae","Parequula","melbournensis",53
"2014-12_Geographe.Bay_stereoBRUVs","10","Labridae","Coris","auricularis",1
"2014-12_Geographe.Bay_stereoBRUVs","10","Labridae","Eupetrichthys","angustipes",1
"2014-12_Geographe.Bay_stereoBRUVs","10","Monacanthidae","Acanthaluteres","vittiger",2
"2014-12_Geographe.Bay_stereoBRUVs","10","Mullidae","Upeneichthys","vlamingii",1
"2014-12_Geographe.Bay_stereoBRUVs","10","Neosebastidae","Neosebastes","pandus",1
"2014-12_Geographe.Bay_stereoBRUVs","10","Aracanidae","Anoplocapros","amygdaloides",1
"2014-12_Geographe.Bay_stereoBRUVs","10","Trygonorrhinidae","Trygonorrhina","dumerilii",4
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",55
"2014-12_Geographe.Bay_stereoBRUVs","10001","Gerreidae","Parequula","melbournensis",5
"2014-12_Geographe.Bay_stereoBRUVs","10001","Monacanthidae","Scobinichthys","granulatus",3
"2014-12_Geographe.Bay_stereoBRUVs","10001","Mullidae","Upeneichthys","vlamingii",1
"2014-12_Geographe.Bay_stereoBRUVs","10001","Myliobatidae","Myliobatis","tenuicaudatus",1
"2014-12_Geographe.Bay_stereoBRUVs","10001","Neosebastidae","Neosebastes","pandus",1
"2014-12_Geographe.Bay_stereoBRUVs","10001","Aracanidae","Anoplocapros","amygdaloides",1
"2014-12_Geographe.Bay_stereoBRUVs","10001","Paralichthyidae","Pseudorhombus","spp",1
"2014-12_Geographe.Bay_stereoBRUVs","10001","Platycephalidae","Platycephalus","spp",3
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",16
"2014-12_Geographe.Bay_stereoBRUVs","10001","Triglidae","Chelidonichthys","kumu",1
"2014-12_Geographe.Bay_stereoBRUVs","10001","Trygonorrhinidae","Trygonorrhina","dumerilii",2
"2014-12_Geographe.Bay_stereoBRUVs","10001","Urolophidae","Trygonoptera","ovalis",1
"2014-12_Geographe.Bay_stereoBRUVs","102","Carangidae","Pseudocaranx","spp",8
"2014-12_Geographe.Bay_stereoBRUVs","102","Carangidae","Trachurus","novaezelandiae",108
"2014-12_Geographe.Bay_stereoBRUVs","102","Dasyatidae","Bathytoshia","brevicaudata",1
"2014-12_Geographe.Bay_stereoBRUVs","102","Gerreidae","Parequula","melbournensis",3
"2014-12_Geographe.Bay_stereoBRUVs","102","Monacanthidae","Acanthaluteres","vittiger",1
"2014-12_Geographe.Bay_stereoBRUVs","102","Mullidae","Parupeneus","chrysopleuron",1
