"sample","mass.total","mass.20cm","mass.30cm"
"1",149.144457395978,149.144457395978,0
"10",16644.3929641413,16020.0153063298,15709.337450269
"100",929.473818879226,663.934037356612,408.353646352502
"10000",12251.109789915,11315.4561750981,9999.34249959809
"10001",8344.0477529343,5120.43809187034,4222.99811387692
"10002",30437.5837508117,30076.0133142955,29365.4006652233
"10003",0,0,0
"10004",1549.65918065519,1275.96807324202,429.542565137532
"10005",3444.94393585752,3188.19883730955,2872.92890792417
"101",20451.0832293758,19659.3389265279,18840.4415064213
"102",15269.3095701147,11489.5923006794,9354.43407242933
"103",15236.2759881999,13761.4973192773,13590.8287132703
"1038",1771.42489853669,1143.47093549967,641.907177218784
"104",1036.97222557807,102.526780049204,0
"106",8855.98575050118,8548.14855624481,7800.87806043486
"107",25376.9724819748,25114.6374456422,23202.5672486995
"108",3985.24889467809,3904.53947027338,3904.53947027338
"11",2553.54204663891,2368.44699139234,1663.18980266231
"110",0,0,0
"1108",6746.31066539475,6548.89362430958,6548.89362430958
"111",7870.25858553511,7353.02313311576,7018.13888565907
"112",14186.0939689441,14043.4078570829,13907.0077847937
"113",9784.56719619332,4835.58151873098,4619.76009213698
"114",10259.6318333821,9968.58131403202,8950.86567627791
"115",11559.4245898758,9937.28503640322,8855.16343898705
"116",2547.40923956313,2094.0919404572,1729.61773203845
"119",17326.2770907082,17097.1633192288,15778.0001809454
"11R1",6983.35942702043,1513.66477476406,0
"11R2",987.91862808273,595.377679430061,280.898723478678
"11R3",588.392115409944,502.50290754806,0
"11R4",5568.66842402621,4848.51297568897,1578.55594160427
"12",4119.06885308814,4021.96483103783,3212.0692453361
"122",1725.51006422942,1664.15260717599,1405.72793433285
"12RC1",14185.6467148645,13081.9331704042,8510.91525439226
"12RC2",7123.81837410345,6524.63575533881,1055.37785819706
"12RC3",12241.5643542136,11721.6125625684,6919.69907198572
"12RC5",21081.1067562912,20577.3137256562,14494.8454214037
"12RC6",29186.1021715885,28603.964465094,17917.6372673659
"12RC7",9661.51270990219,8625.19808082583,7029.54384592868
"12RC8",5950.61854169627,5283.043827765,5018.03901264955
"12RC9",47993.5484353134,47370.1289935272,39513.0797138018
"13",5868.81277708865,5728.34514982446,4945.68156183029
"135",2734.3259437199,2609.04133841677,1260.92215590197
"138",40667.9946831614,37888.5989914134,30589.8850798202
"139",16934.5411615083,16420.4133923806,15299.7800998681
"13RC1",17678.9793845086,17310.4339095456,15139.6101937947
"13RC11",13042.761426188,11776.7409858785,10507.6450539438
"13RC12",39484.529680959,39408.1728774043,39408.1728774043
"13RC13",3464.55125887199,3073.48366758564,2680.93599090512
"13RC15",25347.596852768,25074.8986634706,8185.49492667017
"13RC2",10968.0544322128,10531.506478453,7784.75130758654
"13RC3",20070.9739460352,19270.0900070007,16354.1697859987
"13RC4",5525.02324053954,4975.08433710931,3411.56867551958
"13RC5",8531.83626930282,7399.89227240595,6369.5738907247
"13RC6",7433.12350174734,7118.19739268662,6676.96993998411
"13RC7",7159.69926361969,6833.15303003992,6281.45459393546
"13RC8",2317.66686619193,1671.48635161729,531.062153192428
"13RC9",10630.1457750598,10114.0011401688,9360.07127409508
"14",9219.36939237908,8808.26888911197,7258.35243660103
"143",11608.271704773,9412.49961998361,3713.5971583455
"144",553.343136756908,429.187987139068,429.187987139068
"15",12078.8102916796,11725.2893375948,11081.7044267736
"151",10054.6833826107,9696.58944701999,8620.40812962753
"154",16438.6726581231,15840.6073938838,14912.730600862
"16",469.927627826006,182.122606435029,0
"160",3322.76430076335,3287.32895553453,2988.00441023196
"167",11771.8333051831,11568.5704617302,3051.29252032341
"17",10278.5525722954,10148.5808203229,9057.87815465122
"170",1244.63135714109,904.491703498764,410.204352689412
"175",3151.09773681996,2654.17007652836,1897.63891641912
"176",31708.926787205,31339.7487018567,24022.3066182741
"18",69083.6635218531,64936.5966045658,64377.1634334905
"183",4538.62490095301,4080.42210407861,3849.50625787564
"19",22395.8017183681,22395.8017183681,22058.7718669627
"192",3114.04994422049,2823.37848572748,2823.37848572748
"196",23497.430151953,23152.7954548924,9144.42305228148
"199",32191.0165478344,29933.5485950547,27468.8284713843
"2",10753.2115440785,9452.1656201055,8293.94437195148
"20",16683.4646114977,14860.9194415739,13881.0830982668
"202",6220.96013355902,5453.67435176668,5453.67435176668
"207",8997.54921800807,8738.20731277701,7665.20428252513
"208",3566.73679231287,3350.23015630738,2758.4676130937
"21",10121.6691043982,10121.6691043982,9635.43046508453
"215",0,0,0
"218",4872.5811279877,2620.8428189367,2503.98428705376
"22",11988.2596267584,11688.0195637537,11008.5165478798
"224",8840.50381114177,8235.22267005473,7445.707910076
"23",1375.70318281685,1225.19710604009,816.959175430243
"234",6048.37780029297,6041.4020740501,6041.4020740501
"236",2969.48250630935,2864.65967033433,2864.65967033433
"24",0,0,0
"240",570.409347247691,414.65391364489,319.30257962889
"247",5094.75977747121,3456.57521839289,3456.57521839289
"25",18027.1030236179,13931.0814820212,13647.4071082298
"250",0,0,0
"256",26771.8550416942,26190.1752772182,21541.9915001313
"26",8089.21206447706,7221.74206009268,5660.82340148148
"267",11203.4012602155,11123.8328293444,10099.5198843225
"27",19331.513278262,0,16278.3600989765
"270",7404.89062448413,7293.36957383972,6895.49488749526
"271",23391.9286699058,22511.4941643997,18233.3466544966
"272",20722.2745729039,19792.806849268,18578.4958270501
"279",0,0,0
